bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Opitutae_vadinHA64	0.455802040843961	0.418187829005304	0.200468094040294	0.189049989777914	-0.0957595932977012	-0.171503798336649	-0.216905394430119	0.648641365816406	0.595113448969087	0.390385235762678	0.388602756765712
Rhodospirillales	0.580864785755148	0.264400013102746	0.466028990254206	0.774772944642224	0.30037404934064	0.220343644298908	-0.106483166673824	0.775616685981287	0.482067726430882	0.638632319977986	0.895831217242572
Gastranaerophilales	0.589241833050255	0.541280483550793	0.380156619394411	0.972685406684216	-0.155826805314378	0.253940252186771	-0.0121955329025014	0.775616685981287	0.715263496120691	0.574067484094799	0.972685406684216
Xanthomonadales	0.62790196626218	0.197200762677185	0.552156013158847	0.54897587340914	-0.212899059331204	-0.108288322113624	-0.132833229100606	0.775616685981287	0.407178757023381	0.704474913340597	0.725432404147792
Burkholderiales	0.645004419705929	0.690992233099541	0.260935916151837	0.379254804392043	0.101287793164177	0.321029302313346	0.304570279340921	0.775616685981287	0.774748867414637	0.482731444880898	0.573227404686586
Flavobacteriales	0.649841007173511	0.40888143142143	0.718253205748929	0.244687298635286	0.138292868676655	0.0684020450748517	0.275672689188621	0.775616685981287	0.595113448969087	0.734624863177454	0.476496318395031
Pseudomonadales	0.690827462291738	0.273606006893204	0.601360159211476	0.948608898796483	0.225084740216348	0.119123728732938	-0.0179152233861568	0.798769253274822	0.482067726430882	0.710656379626574	0.972685406684216
Selenomonadales	0.750201956970453	0.858509508188834	0.579157100743684	0.396926420153362	-0.0163543972516726	0.0576885839684423	0.109317521767949	0.822710999587819	0.882356994527412	0.710656379626574	0.573227404686586
Erysipelotrichales	0.767776246590649	0.314700104021482	0.65234850347674	0.528078849231322	-0.165473587694885	-0.0827421585035515	-0.142547564682306	0.822710999587819	0.529268356763401	0.710656379626574	0.723663608205885
Deferribacterales	0.778240134745234	0.412769419558432	0.373324489603515	0.81321689342932	-0.148799298740016	-0.18112306280846	-0.0586183016141936	0.822710999587819	0.595113448969087	0.574067484094799	0.911788638087419
Campylobacterales	0.920629365870138	0.593880074423953	0.653035592089284	0.913093013677782	0.0773893573628713	0.0735171873885011	-0.021995953680551	0.946202403810976	0.722483649992872	0.710656379626574	0.972685406684216
Coriobacteriales	0.969397147683428	0.675432276936877	0.734624863177454	0.735833076493152	0.155087198723524	0.139652746464616	0.169134039350878	0.969397147683428	0.774748867414637	0.734624863177454	0.878252381620858
