"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-11"	0.53	0.58	0.56	0.516666666666667	0.57	0.51	0.6	0.54	0.546666666666667	0.49	0.56	0.585	0.47	0.512	0.5825	0.5925	0.506666666666667	0.48	0.49	0.54	0.49	0.573333333333333	0.465	0.52	0.535	0.546	0.565555555555556	0.594	0.53	0.575	0.61	0.4925	0.566666666666667	0.51	0.52	0.55	0.56	0.527142857142857	0.5	0.551428571428571	0.5025	0.506666666666667	0.53	0.52	0.52	0.582	0.51	0.506	0.5575	0.49	0.58	0.51	0.59	0.545	0.47	0.512	0.546666666666667	0.563333333333333	0.63125	0.545	0.59	0.575	0.545	0.578	0.545	0.525	0.433333333333333	0.544285714285714	0.536666666666667	0.595	0.576	0.585	0.563333333333333	0.567	0.57	0.57	0.53	0.555	0.623333333333333	0.591666666666667
"SAMPLE-12"	0.36	0.536	0.446666666666667	0.4	0.365	0.47	0.48	0.46	0.463333333333333	0.46	0.46	0.47125	0.36	0.39	0.44	0.355	0.39	0.335	0.4075	0.375	0.4	0.436666666666667	0.426666666666667	0.43	0.46	0.394	0.387777777777778	0.422	0.405	0.46	0.405	0.42	0.416666666666667	0.42	0.29	0.375	0.42	0.385714285714286	0.56	0.347142857142857	0.3625	0.263333333333333	0.465714285714286	0.39	0.43	0.432	0.41	0.458	0.43625	0.4	0.47	0.41	0.53	0.3625	0.465	0.44	0.463333333333333	0.473333333333333	0.35375	0.4575	0.45	0.36375	0.455	0.426	0.45	0.35	0.406666666666667	0.388571428571429	0.456666666666667	0.48125	0.44	0.401666666666667	0.376666666666667	0.457	0.405	0.403	0.465	0.418333333333333	0.436666666666667	0.398333333333333
"SAMPLE-13"	0.61	0.588	0.631666666666667	0.59	0.47	0.53	0.64	0.44	0.521666666666667	0.65	0.53	0.55	0.57	0.536	0.5425	0.5575	0.493333333333333	0.6	0.55	0.49	0.4975	0.526666666666667	0.493333333333333	0.57	0.495	0.532	0.513333333333333	0.571	0.615	0.52	0.5	0.4875	0.593333333333333	0.66	0.548	0.56	0.54	0.521428571428571	0.51	0.53	0.52	0.583333333333333	0.56	0.58	0.55	0.534	0.585	0.53	0.53375	0.52	0.51	0.495	0.58	0.58	0.54	0.546	0.583333333333333	0.583333333333333	0.57375	0.515	0.51	0.57375	0.515	0.486	0.575	0.58	0.5	0.524285714285714	0.523333333333333	0.58125	0.538	0.556666666666667	0.553333333333333	0.545	0.56	0.561	0.51	0.563333333333333	0.553333333333333	0.54
"SAMPLE-14"	0.47	0.558	0.463333333333333	0.603333333333333	0.535	0.58	0.54	0.72	0.501666666666667	0.52	0.48	0.53125	0.53	0.486	0.455	0.485	0.536666666666667	0.45	0.3875	0.425	0.475	0.473333333333333	0.476666666666667	0.47	0.51	0.48	0.472222222222222	0.447	0.505	0.52	0.55	0.4675	0.56	0.54	0.4	0.575	0.56	0.457142857142857	0.5	0.468571428571429	0.46	0.48	0.478571428571429	0.51	0.455	0.464	0.4925	0.482	0.5575	0.46	0.56	0.52	0.57	0.4725	0.565	0.426	0.52	0.493333333333333	0.56125	0.5325	0.58	0.46875	0.52	0.512	0.56	0.52	0.52	0.534285714285714	0.503333333333333	0.52125	0.482	0.558333333333333	0.473333333333333	0.56	0.58	0.603	0.56	0.481666666666667	0.513333333333333	0.495
"SAMPLE-15"	0.33	0.49	0.431666666666667	0.463333333333333	0.52	0.42	0.42	0.53	0.52	0.5	0.46	0.485	0.48	0.484	0.44	0.5225	0.49	0.38	0.4575	0.51	0.455	0.5	0.493333333333333	0.49	0.54	0.47	0.495555555555556	0.511	0.37	0.585	0.55	0.47	0.503333333333333	0.53	0.436	0.49	0.51	0.512857142857143	0.55	0.438571428571429	0.44	0.403333333333333	0.474285714285714	0.49	0.505	0.492	0.5025	0.47	0.49	0.43	0.52	0.485	0.39	0.465	0.53	0.472	0.54	0.466666666666667	0.49875	0.4975	0.57	0.5075	0.525	0.508	0.47	0.5	0.433333333333333	0.51	0.493333333333333	0.56625	0.518	0.523333333333333	0.47	0.502	0.46	0.483	0.54	0.441666666666667	0.523333333333333	0.498333333333333
"SAMPLE-16"	0.62	0.64	0.616666666666667	0.57	0.555	0.62	0.57	0.58	0.615	0.57	0.545	0.55875	0.52	0.626	0.5925	0.6025	0.566666666666667	0.565	0.625	0.605	0.5575	0.593333333333333	0.531666666666667	0.53	0.555	0.56	0.568888888888889	0.588	0.575	0.565	0.6	0.545	0.593333333333333	0.6	0.586	0.545	0.51	0.631428571428571	0.53	0.594285714285714	0.595	0.63	0.577142857142857	0.55	0.55	0.556	0.6275	0.556	0.56375	0.58	0.65	0.58	0.6	0.63625	0.5	0.61	0.596666666666667	0.59	0.6825	0.63	0.54	0.59125	0.585	0.57	0.58	0.59	0.596666666666667	0.61	0.533333333333333	0.5925	0.596	0.573333333333333	0.566666666666667	0.572	0.6	0.581	0.635	0.543333333333333	0.63	0.613333333333333
"SAMPLE-17"	0.48	0.56	0.495	0.506666666666667	0.52	0.6	0.56	0.5	0.498333333333333	0.49	0.515	0.55125	0.57	0.514	0.5425	0.4525	0.45	0.48	0.5725	0.515	0.4825	0.516666666666667	0.486666666666667	0.47	0.505	0.476	0.494444444444444	0.5	0.47	0.495	0.505	0.4875	0.533333333333333	0.59	0.47	0.475	0.54	0.542857142857143	0.37	0.451428571428571	0.435	0.403333333333333	0.481428571428571	0.42	0.495	0.508	0.52	0.472	0.4875	0.54	0.49	0.505	0.51	0.47	0.48	0.476	0.576666666666667	0.5	0.58875	0.5375	0.5	0.56125	0.545	0.532	0.535	0.475	0.496666666666667	0.474285714285714	0.52	0.575	0.512	0.493333333333333	0.483333333333333	0.5	0.515	0.477	0.5	0.491666666666667	0.566666666666667	0.521666666666667
"SAMPLE-18"	0.65	0.606	0.53	0.646666666666667	0.645	0.6	0.52	0.7	0.55	0.6	0.535	0.5325	0.53	0.526	0.5225	0.5075	0.606666666666667	0.565	0.43	0.495	0.465	0.456666666666667	0.546666666666667	0.39	0.57	0.556	0.554444444444444	0.485	0.545	0.505	0.65	0.5375	0.566666666666667	0.67	0.554	0.65	0.58	0.515714285714286	0.51	0.507142857142857	0.49	0.526666666666667	0.488571428571429	0.58	0.49	0.554	0.5475	0.478	0.57125	0.55	0.64	0.59	0.62	0.48875	0.57	0.49	0.513333333333333	0.563333333333333	0.6175	0.5275	0.48	0.535	0.585	0.584	0.605	0.57	0.593333333333333	0.581428571428571	0.553333333333333	0.54375	0.566	0.571666666666667	0.523333333333333	0.597	0.61	0.638	0.6	0.625	0.566666666666667	0.553333333333333
"SAMPLE-19"	0.76	0.684	0.665	0.773333333333333	0.74	0.69	0.77	0.76	0.635	0.7	0.675	0.61625	0.65	0.642	0.5875	0.6625	0.733333333333333	0.695	0.565	0.595	0.5875	0.586666666666667	0.63	0.63	0.655	0.644	0.654444444444444	0.586	0.685	0.695	0.76	0.59	0.69	0.66	0.652	0.71	0.63	0.641428571428571	0.58	0.654285714285714	0.6225	0.7	0.585714285714286	0.64	0.635	0.592	0.66	0.582	0.66375	0.68	0.67	0.65	0.67	0.61875	0.695	0.65	0.633333333333333	0.666666666666667	0.7875	0.6325	0.73	0.6625	0.645	0.682	0.675	0.685	0.666666666666667	0.705714285714286	0.65	0.64625	0.67	0.756666666666667	0.67	0.667	0.79	0.736	0.665	0.668333333333333	0.683333333333333	0.665
"SAMPLE-20"	0.62	0.614	0.596666666666667	0.636666666666667	0.6	0.59	0.61	0.82	0.555	0.64	0.58	0.5675	0.54	0.526	0.525	0.6	0.603333333333333	0.615	0.4975	0.535	0.535	0.523333333333333	0.545	0.57	0.595	0.574	0.556666666666667	0.565	0.6	0.565	0.595	0.53	0.596666666666667	0.68	0.602	0.625	0.64	0.55	0.54	0.54	0.505	0.53	0.547142857142857	0.54	0.545	0.556	0.57	0.542	0.635	0.6	0.63	0.565	0.59	0.5375	0.565	0.532	0.563333333333333	0.586666666666667	0.63375	0.5275	0.61	0.5675	0.585	0.544	0.615	0.585	0.55	0.605714285714286	0.516666666666667	0.60375	0.56	0.646666666666667	0.566666666666667	0.638	0.64	0.616	0.555	0.578333333333333	0.58	0.568333333333333
