"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865123"	0.72	0.788	0.7125	0.721111111111111	0.73	0.62	0.752222222222222	0.666666666666667	0.703333333333333	0.686
"SRR5865124"	0.55	0.606666666666667	0.67	0.63	0.641666666666667	0.65	0.626666666666667	0.621666666666667	0.6	0.55
"SRR5865125"	0.739	0.716	0.718333333333333	0.71	0.688888888888889	0.686666666666667	0.686666666666667	0.758333333333333	0.71	0.71
"SRR5865126"	0.70125	0.643333333333333	0.628333333333333	0.686666666666667	0.661111111111111	0.705	0.573333333333333	0.656666666666667	0.69	0.585
"SRR5865127"	0.66625	0.647777777777778	0.681	0.62	0.66	0.713333333333333	0.71	0.626666666666667	0.645	0.66
"SRR5865128"	0.53	0.34	0.381666666666667	0.4075	0.41	0.378333333333333	0.436666666666667	0.388888888888889	0.415	0.366
"SRR5865129"	0.257	0.255555555555556	0.38	0.2875	0.327777777777778	0.34	0.305	0.293333333333333	0.28	0.295
"SRR5865130"	0.4775	0.438888888888889	0.521	0.418	0.438888888888889	0.523333333333333	0.396666666666667	0.516666666666667	0.495	0.51
"SRR5865078"	0.7375	0.723333333333333	0.751666666666667	0.82	0.775	0.71	0.8	0.778888888888889	0.83	0.78
"SRR5865079"	0.75875	0.751428571428571	0.715	0.7825	0.774	0.72	0.8	0.726666666666667	0.73	0.71
"SRR5865080"	0.748	0.802	0.72	0.76	0.744444444444444	0.72	0.765	0.745	0.716666666666667	0.635
"SRR5865081"	0.3175	0.288571428571429	0.34	0.353333333333333	0.35	0.276666666666667	0.3	0.29	0.285	0.274
"SRR5865082"	0.875	0.863333333333333	0.843	0.867142857142857	0.882	0.876666666666667	0.863333333333333	0.892222222222222	0.858333333333333	0.843333333333333
"SRR5865083"	0.89875	0.891111111111111	0.909	0.8775	0.906666666666667	0.86	0.896666666666667	0.906666666666667	0.883333333333333	0.866666666666667
"SRR5865084"	0.66	0.565	0.66	0.575	0.634444444444444	0.606	0.58	0.596666666666667	0.611666666666667	0.586666666666667
"SRR5865088"	0.8	0.83	0.74	0.755	0.793333333333333	0.813333333333333	0.766666666666667	0.81	0.763333333333333	0.706666666666667
"SRR5865090"	0.8225	0.745	0.741666666666667	0.735	0.771111111111111	0.7475	0.696666666666667	0.811666666666667	0.72	0.76
"SRR5865091"	0.75	0.66	0.706666666666667	0.74	0.723333333333333	0.71	0.68	0.68	0.786666666666667	0.723333333333333
"SRR5865092"	0.92	0.942	0.945	0.925	0.937777777777778	0.85	0.9275	0.93	0.911666666666667	0.905
"SRR5865093"	0.875	0.875	0.85	0.8925	0.91	0.904	0.856666666666667	0.867777777777778	0.85	0.845
"SRR5865094"	0.79	0.834	0.786666666666667	0.82	0.75	0.82	0.856666666666667	0.826666666666667	0.77	0.776666666666667
