"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865125"	0.732	0.713333333333333	0.755	0.7275	0.7325	0.776666666666667	0.74	0.733333333333333	0.728333333333333	0.734285714285714
"SRR5865126"	0.7125	0.77	0.78	0.645	0.7	0.74	0.668	0.697777777777778	0.692857142857143	0.7025
"SRR5865127"	0.69	0.713333333333333	0.667142857142857	0.653333333333333	0.6425	0.69	0.6	0.664444444444444	0.631428571428571	0.67
"SRR5865128"	0.414	0.35	0.38	0.343333333333333	0.398	0.363333333333333	0.394	0.436	0.3	0.3725
"SRR5865129"	0.306666666666667	0.273333333333333	0.404	0.344	0.36	0.41	0.3	0.387	0.32	0.294285714285714
"SRR5865130"	0.493	0.563333333333333	0.528571428571429	0.57	0.5725	0.61	0.502	0.54	0.536	0.51
"SRR5865078"	0.81	0.843333333333333	0.731666666666667	0.665	0.75	0.735	0.72	0.783333333333333	0.7575	0.71
"SRR5865079"	0.78	0.728571428571429	0.686	0.7425	0.81875	0.764	0.775	0.82	0.781666666666667	0.74
"SRR5865080"	0.714	0.7	0.84	0.63	0.68375	0.763333333333333	0.76	0.672857142857143	0.765	0.78
"SRR5865081"	0.412	0.323333333333333	0.37	0.47	0.37	0.36	0.38	0.325714285714286	0.387142857142857	0.296666666666667
"SRR5865082"	0.81	0.84	0.847142857142857	0.81	0.825	0.82	0.88	0.81	0.785714285714286	0.83
"SRR5865083"	0.913333333333333	0.9	0.844	0.88	0.9225	0.893333333333333	0.9	0.91	0.883333333333333	0.88
"SRR5865084"	0.58375	0.52	0.515	0.626666666666667	0.64625	0.62	0.59	0.555555555555556	0.57875	0.62
"SRR5865088"	0.686666666666667	0.76	0.695	0.738333333333333	0.706	0.715	0.74	0.686666666666667	0.722	0.73
"SRR5865090"	0.823333333333333	0.716666666666667	0.704	0.82	0.7275	0.723333333333333	0.8025	0.755	0.825	0.83125
"SRR5865091"	0.732	0.695714285714286	0.766666666666667	0.7325	0.764	0.685	0.6925	0.695	0.745714285714286	0.7425
"SRR5865092"	0.929	0.92	0.95	0.89875	0.936	0.901111111111111	0.92	0.912857142857143	0.8675	0.915555555555556
"SRR5865093"	0.834	0.906666666666667	0.84	0.8625	0.835	0.8375	0.905	0.849	0.868333333333333	0.888888888888889
"SRR5865094"	0.806	0.825714285714286	0.857142857142857	0.816666666666667	0.8525	0.796666666666667	0.844	0.865	0.7825	0.856666666666667
"SRR5865095"	0.62	0.67	0.76	0.743333333333333	0.64	0.731666666666667	0.705	0.67	0.705714285714286	0.688571428571429
"SRR5865099"	0.722	0.706666666666667	0.718333333333333	0.68	0.738888888888889	0.6775	0.7	0.71	0.755714285714286	0.707142857142857
"SRR5865100"	0.673	0.713333333333333	0.678571428571429	0.656	0.7	0.65	0.631	0.7	0.655	0.6325
"SRR5865101"	0.6	0.753333333333333	0.645	0.7	0.67	0.625	0.66125	0.63	0.62	0.663333333333333
"SRR5865102"	0.25	0.4	0.49	0.31	0.30875	0.306666666666667	0.33625	0.465	0.3	0.4125
"SRR5865103"	0.624	0.69	0.645714285714286	0.56	0.61375	0.632222222222222	0.61	0.596666666666667	0.64375	0.58
"SRR5865104"	0.795	0.761428571428571	0.75	0.7675	0.73	0.82	0.81	0.795	0.825	0.74
"SRR5865105"	0.464	0.48	0.474	0.383333333333333	0.43	0.54	0.38	0.595	0.461428571428571	0.35
"SRR5865107"	0.8	0.83	0.788333333333333	0.816666666666667	0.775	0.811111111111111	0.812	0.784	0.858	0.761428571428571
"SRR5865108"	0.778	0.78	0.822857142857143	0.803333333333333	0.84	0.755	0.8425	0.84	0.808571428571429	0.846666666666667
"SRR5865109"	0.65	0.66	0.646	0.59	0.655	0.69	0.655	0.585	0.67	0.62
"SRR5865117"	0.553333333333333	0.43	0.6	0.535	0.538888888888889	0.564	0.545	0.445	0.552	0.505
"SRR5865118"	0.67875	0.693333333333333	0.65	0.555	0.64375	0.703333333333333	0.61	0.635	0.665714285714286	0.77
"SRR5865119"	0.6325	0.603333333333333	0.652857142857143	0.57	0.595	0.623333333333333	0.663	0.65	0.648	0.74
"SRR5865131"	0.65	0.776666666666667	0.702	0.666666666666667	0.66375	0.6	0.65375	0.665	0.65	0.67
"SRR5865132"	0.67	0.73	0.704285714285714	0.63	0.68	0.683333333333333	0.6525	0.662857142857143	0.681666666666667	0.675714285714286
"SRR5865133"	0.406666666666667	0.398571428571429	0.488333333333333	0.5275	0.48	0.555	0.40875	0.525	0.468333333333333	0.415
"SRR5865134"	0.712	0.62	0.65	0.576666666666667	0.73	0.7	0.66	0.69	0.71625	0.675
"SRR5865135"	0.282	0.296666666666667	0.235	0.31	0.3325	0.333333333333333	0.399	0.37	0.42	0.306666666666667
"SRR11292125"	0.77	0.66	0.72	0.665	0.75	0.763333333333333	0.73	0.743333333333333	0.701428571428571	0.673333333333333
"SRR11292126"	0.52	0.543333333333333	0.53	0.541666666666667	0.555	0.524	0.5	0.58	0.53	0.545714285714286
"SRR11292127"	0.613	0.49	0.508	0.49875	0.505	0.462222222222222	0.496	0.574	0.474285714285714	0.48
"SRR11292131"	0.915	0.89	0.825	0.815	0.914	0.915	0.835	0.865555555555556	0.86	0.85
"SRR11292132"	0.18	0.145	0.188571428571429	0.18	0.1175	0.293333333333333	0.28375	0.145	0.12	0.256666666666667
"SRR11292136"	0.3975	0.366666666666667	0.413333333333333	0.458333333333333	0.442	0.51	0.45	0.505	0.437142857142857	0.38875
"SRR11292137"	0.639	0.58	0.56	0.606666666666667	0.64625	0.575	0.5875	0.626666666666667	0.605	0.61
"SRR11292138"	0.607	0.62	0.602857142857143	0.6	0.566666666666667	0.29	0.2925	0.68	0.6075	0.267777777777778
"SRR11292140"	0.552	0.513333333333333	0.425	0.46	0.5175	0.5175	0.5075	0.52	0.494	0.52375
"SRR11292141"	0.734	0.736666666666667	0.757142857142857	0.6825	0.73875	0.743333333333333	0.755	0.69	0.725714285714286	0.75625
"SRR11292142"	0.506	0.683333333333333	0.45	0.48	0.53	0.495	0.535	0.545	0.537142857142857	0.475555555555556
"SRR11292143"	0.53375	0.48	0.445	0.49	0.484444444444444	0.4475	0.565	0.513333333333333	0.596	0.5075
"SRR11292144"	0.462	0.47	0.46	0.495	0.455	0.463333333333333	0.51125	0.433333333333333	0.466	0.534285714285714
"SRR11292145"	0.578	0.493333333333333	0.496	0.46	0.54	0.51	0.45	0.54	0.515	0.525
"SRR11292146"	0.66	0.746666666666667	0.68	0.646666666666667	0.715	0.646666666666667	0.6775	0.685714285714286	0.6825	0.69375
"SRR11292147"	0.6175	0.66	0.568	0.584	0.6475	0.574444444444444	0.6325	0.627777777777778	0.646	0.645
"SRR11292148"	0.80875	0.721428571428571	0.745	0.69625	0.75	0.75	0.74875	0.723333333333333	0.761428571428571	0.74
"SRR11292129"	0.73	0.763333333333333	0.714	0.756666666666667	0.85875	0.735	0.785	0.813333333333333	0.7725	0.705
"SRR11292130"	0.644	0.63	0.66	0.71	0.63	0.686666666666667	0.65	0.623333333333333	0.64125	0.643333333333333
"SRR11292133"	0.647	0.633333333333333	0.686666666666667	0.681666666666667	0.695	0.73	0.63	0.647	0.681666666666667	0.6725
"SRR11292134"	0.42	0.374285714285714	0.347142857142857	0.41	0.422	0.375	0.37125	0.4	0.367142857142857	0.484285714285714
"SRR11292135"	0.45	0.398571428571429	0.377142857142857	0.426666666666667	0.35125	0.375	0.41	0.41	0.36	0.36375
"ERR1624539"	0.48875	0.405	0.495714285714286	0.5175	0.54875	0.48	0.452	0.565	0.49375	0.44
"ERR1624542"	0.452	0.498571428571429	0.46	0.47	0.5175	0.435	0.51	0.49	0.43	0.49
"ERR1624545"	0.6	0.59	0.64	0.643333333333333	0.675	0.608888888888889	0.6	0.652222222222222	0.603333333333333	0.6075
"ERR1624547"	0.2675	0.381428571428571	0.412	0.324	0.398	0.3	0.27	0.404285714285714	0.445	0.371428571428571
"ERR1624549"	0.622	0.616666666666667	0.56	0.543	0.5675	0.52	0.5375	0.549	0.51	0.492857142857143
"ERR1624550"	0.352	0.306666666666667	0.424	0.435	0.426	0.44	0.395	0.38	0.43	0.384285714285714
"ERR1624552"	0.542	0.603333333333333	0.495	0.51	0.584	0.46	0.532	0.48	0.435	0.503333333333333
"ERR1624553"	0.26	0.303333333333333	0.208571428571429	0.2825	0.277777777777778	0.286666666666667	0.34	0.25	0.234	0.247777777777778
