"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR11292132"	0.125555555555556	0.116666666666667	0.0785714285714286	0.10375	0.088	0.07	0.07	0.0733333333333333	0.103333333333333	0.07
"SRR11292136"	0.4075	0.4	0.35	0.326	0.39	0.316666666666667	0.27	0.356666666666667	0.43625	0.373333333333333
"SRR11292137"	0.702857142857143	0.74125	0.67625	0.6575	0.695	0.651	0.75	0.723333333333333	0.7	0.755
"SRR11292138"	0.53	0.52375	0.476666666666667	0.565555555555556	0.53125	0.536666666666667	0.476666666666667	0.514	0.54	0.5325
"SRR11292140"	0.51	0.525	0.416666666666667	0.5225	0.5	0.463	0.51	0.5	0.4425	0.38
"SRR11292141"	0.716666666666667	0.61875	0.87	0.716666666666667	0.722	0.6825	0.75	0.59	0.678333333333333	0.706666666666667
"SRR11292142"	0.54	0.4625	0.459	0.502222222222222	0.46	0.435	0.503333333333333	0.56625	0.436666666666667	0.58
"SRR11292143"	0.46875	0.4575	0.456666666666667	0.39	0.5	0.436666666666667	0.486666666666667	0.492	0.473333333333333	0.52
"SRR11292144"	0.451666666666667	0.405	0.353333333333333	0.454	0.466	0.4325	0.452857142857143	0.43	0.355	0.49375
"SRR11292145"	0.62	0.59375	0.64	0.624444444444444	0.55375	0.625	0.606666666666667	0.616666666666667	0.655	0.6525
"SRR11292146"	0.7075	0.71	0.697142857142857	0.65	0.67625	0.583333333333333	0.65	0.69	0.688888888888889	0.71375
"SRR11292147"	0.591666666666667	0.5825	0.594444444444444	0.6075	0.555	0.627	0.584285714285714	0.685	0.645	0.62125
"SRR11292148"	0.708571428571429	0.73	0.7325	0.736	0.7175	0.725	0.755714285714286	0.77	0.705555555555556	0.79
"SRR11292129"	0.73	0.64125	0.68	0.678333333333333	0.665	0.7675	0.72	0.58	0.696666666666667	0.753333333333333
