"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-11"	0.491666666666667	0.65	0.55	0.58875	0.58	0.676666666666667	0.556666666666667	0.625	0.56	0.577	0.604	0.564285714285714	0.5425	0.54	0.64	0.5625	0.53	0.57	0.62	0.52	0.592857142857143	0.606666666666667	0.595	0.546666666666667	0.639	0.608333333333333	0.53125	0.57125	0.528571428571429	0.57	0.585	0.583333333333333	0.626666666666667	0.63	0.44	0.51	0.59875	0.565	0.506	0.61	0.611666666666667	0.53	0.5	0.581666666666667	0.575	0.532	0.58	0.6	0.65	0.52	0.626	0.562857142857143	0.6	0.5525	0.575	0.582	0.67	0.6525	0.508	0.59	0.625	0.597	0.55	0.536666666666667	0.586666666666667	0.61	0.606666666666667	0.646666666666667	0.606666666666667	0.52	0.54	0.643333333333333	0.496666666666667	0.571666666666667	0.545	0.59	0.59	0.65375	0.61	0.565
"SAMPLE-12"	0.281666666666667	0.365	0.39	0.32875	0.411666666666667	0.373333333333333	0.398333333333333	0.395	0.43	0.343	0.326	0.361428571428571	0.3125	0.348	0.34	0.36125	0.37	0.27	0.33	0.235	0.335714285714286	0.35	0.361666666666667	0.29	0.323	0.356666666666667	0.2725	0.31	0.335714285714286	0.29	0.36	0.38	0.283333333333333	0.4	0.31	0.17	0.335	0.31	0.268	0.39625	0.351666666666667	0.343333333333333	0.27	0.383333333333333	0.28	0.293	0.355	0.43	0.35	0.37	0.424	0.378571428571429	0.3	0.31125	0.39	0.38	0.35	0.3425	0.312	0.365	0.35	0.338	0.385	0.33	0.308333333333333	0.29	0.346666666666667	0.326666666666667	0.38	0.296666666666667	0.386666666666667	0.336666666666667	0.34	0.32	0.32375	0.36	0.32	0.3	0.44	0.37
"SAMPLE-13"	0.506666666666667	0.66	0.62	0.575	0.603333333333333	0.6	0.613333333333333	0.645	0.63	0.587	0.554	0.518571428571429	0.5325	0.524	0.52	0.53125	0.5	0.59	0.58	0.5525	0.511428571428571	0.553333333333333	0.576666666666667	0.57	0.602	0.57	0.52375	0.54375	0.532857142857143	0.585	0.635	0.543333333333333	0.583333333333333	0.49	0.5	0.52	0.56	0.565	0.512	0.6225	0.626666666666667	0.516666666666667	0.555	0.606666666666667	0.5625	0.565	0.66	0.54	0.595	0.59	0.532	0.57	0.58	0.56125	0.5	0.564	0.58	0.525	0.508	0.635	0.585	0.621	0.51	0.546666666666667	0.583333333333333	0.63	0.6	0.526666666666667	0.596666666666667	0.482222222222222	0.553333333333333	0.643333333333333	0.55	0.601666666666667	0.57625	0.53	0.58	0.67875	0.555	0.5675
"SAMPLE-14"	0.45	0.47	0.47	0.5275	0.491666666666667	0.443333333333333	0.453333333333333	0.45	0.51	0.415	0.462	0.492857142857143	0.455	0.438	0.51	0.465	0.49	0.44	0.5	0.5475	0.458571428571429	0.426666666666667	0.406666666666667	0.43	0.417	0.5	0.4225	0.4375	0.434285714285714	0.455	0.46	0.47	0.45	0.46	0.49	0.41	0.47125	0.44	0.418	0.4475	0.456666666666667	0.48	0.455	0.431666666666667	0.42	0.467	0.44	0.5	0.4	0.476666666666667	0.458	0.42	0.51	0.43625	0.485	0.438	0.35	0.4325	0.414	0.485	0.435	0.435	0.515	0.446666666666667	0.438333333333333	0.39	0.526666666666667	0.463333333333333	0.423333333333333	0.444444444444444	0.453333333333333	0.41	0.526666666666667	0.491666666666667	0.42875	0.44	0.47	0.42125	0.405	0.43
"SAMPLE-15"	0.496666666666667	0.421666666666667	0.45	0.52125	0.535	0.53	0.506666666666667	0.43	0.5	0.471	0.472	0.495714285714286	0.47	0.48	0.44	0.475	0.41	0.59	0.51	0.4575	0.487142857142857	0.483333333333333	0.575	0.48	0.578	0.491666666666667	0.4275	0.47375	0.445714285714286	0.525	0.345	0.586666666666667	0.536666666666667	0.57	0.44	0.36	0.46875	0.45	0.47	0.4875	0.471666666666667	0.45	0.415	0.523333333333333	0.48	0.445	0.505	0.48	0.495	0.403333333333333	0.526	0.497142857142857	0.445	0.42	0.46	0.46	0.523333333333333	0.465	0.43	0.555	0.565	0.473	0.47	0.446666666666667	0.49	0.46	0.483333333333333	0.47	0.496666666666667	0.447777777777778	0.506666666666667	0.476666666666667	0.46	0.476666666666667	0.4075	0.42	0.57	0.49	0.54	0.505
"SAMPLE-16"	0.511666666666667	0.61	0.53	0.6075	0.625	0.603333333333333	0.591666666666667	0.625	0.57	0.571	0.62	0.575714285714286	0.62	0.576	0.66	0.58375	0.57	0.515	0.65	0.57	0.575714285714286	0.576666666666667	0.673333333333333	0.586666666666667	0.628	0.561666666666667	0.56625	0.54125	0.564285714285714	0.535	0.6	0.573333333333333	0.593333333333333	0.63	0.52	0.65	0.59375	0.59	0.568	0.62375	0.598333333333333	0.56	0.565	0.61	0.5275	0.541	0.58	0.58	0.625	0.516666666666667	0.596	0.581428571428571	0.585	0.57875	0.64	0.602	0.66	0.59	0.542	0.66	0.645	0.59	0.59	0.63	0.51	0.56	0.606666666666667	0.513333333333333	0.61	0.553333333333333	0.573333333333333	0.616666666666667	0.546666666666667	0.515	0.555	0.58	0.57	0.66625	0.59	0.6025
"SAMPLE-17"	0.456666666666667	0.6	0.6	0.5775	0.573333333333333	0.606666666666667	0.573333333333333	0.57	0.54	0.584	0.592	0.557142857142857	0.5725	0.522	0.59	0.575	0.59	0.565	0.66	0.5525	0.544285714285714	0.593333333333333	0.596666666666667	0.55	0.59	0.571666666666667	0.55	0.52	0.594285714285714	0.51	0.6	0.583333333333333	0.57	0.61	0.47	0.58	0.6	0.6	0.502	0.5875	0.601666666666667	0.486666666666667	0.5	0.598333333333333	0.535	0.531	0.6	0.54	0.575	0.563333333333333	0.576	0.542857142857143	0.555	0.58125	0.515	0.57	0.62	0.5625	0.456	0.625	0.615	0.612	0.525	0.526666666666667	0.553333333333333	0.62	0.55	0.55	0.596666666666667	0.526666666666667	0.56	0.62	0.52	0.551666666666667	0.5775	0.58	0.64	0.68875	0.61	0.595
"SAMPLE-18"	0.528333333333333	0.54	0.59	0.60375	0.545	0.513333333333333	0.531666666666667	0.535	0.5	0.563	0.64	0.585714285714286	0.63	0.492	0.59	0.54875	0.6	0.575	0.55	0.605	0.58	0.536666666666667	0.521666666666667	0.503333333333333	0.529	0.56	0.595	0.55625	0.572857142857143	0.54	0.525	0.58	0.55	0.48	0.61	0.54	0.5975	0.545	0.546	0.5325	0.588333333333333	0.556666666666667	0.57	0.573333333333333	0.575	0.596	0.53	0.51	0.52	0.56	0.564	0.531428571428571	0.55	0.57375	0.555	0.516	0.523333333333333	0.5275	0.554	0.59	0.585	0.573	0.555	0.58	0.541666666666667	0.5	0.606666666666667	0.623333333333333	0.543333333333333	0.573333333333333	0.523333333333333	0.526666666666667	0.546666666666667	0.57	0.55	0.58	0.46	0.565	0.49	0.5425
"SAMPLE-19"	0.63	0.736666666666667	0.59	0.69875	0.641666666666667	0.616666666666667	0.623333333333333	0.705	0.62	0.668	0.68	0.654285714285714	0.7025	0.606	0.71	0.66125	0.56	0.66	0.66	0.73	0.705714285714286	0.65	0.631666666666667	0.65	0.677	0.653333333333333	0.67625	0.6425	0.648571428571429	0.615	0.58	0.66	0.736666666666667	0.58	0.71	0.66	0.65125	0.69	0.64	0.6475	0.676666666666667	0.69	0.74	0.61	0.665	0.682	0.62	0.61	0.675	0.65	0.636	0.612857142857143	0.635	0.69	0.655	0.592	0.693333333333333	0.65	0.602	0.66	0.69	0.679	0.585	0.646666666666667	0.661666666666667	0.64	0.73	0.703333333333333	0.656666666666667	0.637777777777778	0.62	0.65	0.64	0.628333333333333	0.63625	0.6	0.69	0.7325	0.55	0.645
"SAMPLE-20"	0.63	0.751666666666667	0.66	0.69375	0.641666666666667	0.666666666666667	0.676666666666667	0.7	0.67	0.676	0.68	0.645714285714286	0.58	0.584	0.66	0.6425	0.63	0.655	0.75	0.6025	0.63	0.646666666666667	0.636666666666667	0.643333333333333	0.656	0.683333333333333	0.62125	0.63625	0.64	0.675	0.645	0.636666666666667	0.666666666666667	0.6	0.64	0.63	0.66375	0.725	0.64	0.66	0.738333333333333	0.643333333333333	0.655	0.593333333333333	0.63	0.684	0.625	0.63	0.565	0.646666666666667	0.62	0.627142857142857	0.71	0.65	0.69	0.586	0.656666666666667	0.67	0.576	0.74	0.635	0.69	0.625	0.683333333333333	0.73	0.7	0.723333333333333	0.69	0.643333333333333	0.596666666666667	0.636666666666667	0.676666666666667	0.63	0.681666666666667	0.62625	0.63	0.72	0.72125	0.605	0.61
