bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Coriobacteriaceae	0.165754820361024	0.165754820361024	0.254761172532786	0.6164572560245	0.6164572560245
Unclassified Coriobacteriales Order	0.166271486702678	0.166271486702678	-0.0593833972654384	0.6164572560245	0.6164572560245
Prevotellaceae	0.167885288359166	0.167885288359166	0.310993680534516	0.6164572560245	0.6164572560245
Actinomycetaceae	0.174454072192568	0.174454072192568	0.252869797029046	0.6164572560245	0.6164572560245
Paenibacillaceae	0.181306300679102	0.181306300679102	-0.191414684266923	0.6164572560245	0.6164572560245
Clostridiales Family XIII. Incertae Sedis	0.185058298874628	0.185058298874628	0.185228264973746	0.6164572560245	0.6164572560245
Alicyclobacillaceae	0.185828712828637	0.185828712828637	-0.177716786074088	0.6164572560245	0.6164572560245
Corynebacteriaceae	0.186870517187439	0.186870517187439	0.0926140391177842	0.6164572560245	0.6164572560245
Veillonellaceae	0.191770692734458	0.191770692734458	0.249258105591872	0.6164572560245	0.6164572560245
Unclassified Flavobacteriales Order	0.192568506455699	0.192568506455699	0.0469362721105411	0.6164572560245	0.6164572560245
Sporomusaceae	0.196725812931819	0.196725812931819	-0.123416694588182	0.6164572560245	0.6164572560245
Oscillospiraceae	0.196911452775495	0.196911452775495	0.211012565311084	0.6164572560245	0.6164572560245
Selenomonadaceae	0.198236955929958	0.198236955929958	-0.246108927490654	0.6164572560245	0.6164572560245
Vallitaleaceae	0.198603851817783	0.198603851817783	-0.307211343573955	0.6164572560245	0.6164572560245
Peptoniphilaceae	0.204986517621036	0.204986517621036	0.167309537123282	0.6164572560245	0.6164572560245
Thermoanaerobacteraceae	0.207991812290301	0.207991812290301	-0.0570295352341791	0.6164572560245	0.6164572560245
Helicobacteraceae	0.210155882735625	0.210155882735625	-0.133331372091722	0.6164572560245	0.6164572560245
Syntrophomonadaceae	0.21702654965639	0.21702654965639	-0.131164691529169	0.622771838144423	0.622771838144423
Barnesiellaceae	0.228404294568111	0.22840429456811	-0.208169046588191	0.633678106652122	0.633678106652121
Lactobacillaceae	0.235830438867511	0.235830438867511	-0.349143892841694	0.633678106652122	0.633678106652121
Erwiniaceae	0.238626390303847	0.238626390303847	0.162744147512927	0.633678106652122	0.633678106652121
Geobacteraceae	0.240029585853076	0.240029585853076	0.0681773843773724	0.633678106652122	0.633678106652121
Unclassified Corynebacteriales Order	0.253763054232684	0.253763054232684	0.169345748468378	0.656798493308122	0.656798493308122
Unclassified Bacteroidetes Phylum	0.262240746228335	0.262240746228335	0.240769589800431	0.66568804811808	0.66568804811808
Rikenellaceae	0.284387533887903	0.284387533887903	0.180119888301784	0.692858546730426	0.692858546730426
Chlamydiaceae	0.287406137810571	0.287406137810571	0.0816698684535401	0.692858546730426	0.692858546730426
Sphingomonadaceae	0.288691061137677	0.288691061137677	0.0470193463407815	0.692858546730426	0.692858546730426
Ruminococcaceae	0.294405408335849	0.294405408335849	-0.1246489825679	0.693955605363074	0.693955605363074
Aphanizomenonaceae	0.313907354738705	0.313907354738705	-0.0606899484342442	0.715233621520003	0.715233621520003
Thermaceae	0.315827362601953	0.315827362601953	-0.122020495957588	0.715233621520003	0.715233621520003
Unclassified Bacilli Class	0.319687755073335	0.319687755073335	0.138015938123173	0.715233621520003	0.715233621520003
Unclassified Cyanobacteria Phylum	0.328946000693503	0.328946000693503	0.10468272533086	0.723681201525706	0.723681201525706
Unclassified Clostridiales Order	0.348924348703863	0.348924348703863	-0.134610214694805	0.743608369565283	0.743608369565283
Desulfomicrobiaceae	0.350874557775267	0.350874557775267	0.0621165150325855	0.743608369565283	0.743608369565283
Dehalococcoidaceae	0.360475723965164	0.360475723965164	-0.0376242572238048	0.743608369565283	0.743608369565283
Desulfobacteraceae	0.360537391304379	0.360537391304379	0.0591810434740149	0.743608369565283	0.743608369565283
Vulgatibacteraceae	0.369876160842051	0.369876160842051	-0.0443130272386464	0.751133126633087	0.751133126633087
Yersiniaceae	0.381949574345803	0.381949574345803	0.162412903442084	0.763899148691606	0.763899148691606
Atopobiaceae	0.391438766070318	0.391438766070318	0.10927150889324	0.771192792854954	0.771192792854954
Vibrionaceae	0.403019143267637	0.403019143267637	0.0218568217104802	0.777935515212436	0.777935515212436
Peptostreptococcaceae	0.406648110224682	0.406648110224682	-0.14305084483787	0.777935515212436	0.777935515212436
Lachnospiraceae	0.431014713395311	0.431014713395311	-0.0923778992672934	0.81131554284305	0.81131554284305
Unclassified Clostridia Class	0.436389420771641	0.436389420771641	-0.0512694826832534	0.81131554284305	0.81131554284305
Thermoanaerobacterales Family III. Incertae Sedis	0.453007506144028	0.453007506144028	-0.0882167656300371	0.830513761264051	0.830513761264051
Desulfovibrionaceae	0.465259630451524	0.465259630451524	0.09807221840119	0.841291386569879	0.841291386569879
Sutterellaceae	0.48216109802377	0.48216109802377	0.106800160055809	0.84871112148091	0.84871112148091
Porphyromonadaceae	0.484272651870775	0.484272651870775	0.0427459218649837	0.84871112148091	0.84871112148091
Nitrosomonadaceae	0.504615404689156	0.504615404689156	0.013100896379347	0.84871112148091	0.84871112148091
Merismopediaceae	0.510085733788234	0.510085733788234	0.0383878588528827	0.84871112148091	0.84871112148091
Pseudoalteromonadaceae	0.510427320691464	0.510427320691464	0.0351006831781824	0.84871112148091	0.84871112148091
Unclassified Burkholderiales Order	0.515727237485094	0.515727237485094	0.0712010458782322	0.84871112148091	0.84871112148091
Rhodobacteraceae	0.516139896272455	0.516139896272455	-0.0320483743557491	0.84871112148091	0.84871112148091
Unclassified Firmicutes Phylum	0.526258188144832	0.526258188144832	0.0858353557391363	0.84871112148091	0.84871112148091
Unclassified Candidatus Saccharibacteria Phylum	0.5313462844051	0.5313462844051	-0.094563444159936	0.84871112148091	0.84871112148091
Spiroplasmataceae	0.533659265779663	0.533659265779663	0.0305681807977114	0.84871112148091	0.84871112148091
Acholeplasmataceae	0.556710646518615	0.556710646518615	-0.0619907296503328	0.874831015957824	0.874831015957824
Erysipelotrichaceae	0.56794899376369	0.56794899376369	-0.0981012100479177	0.881991378550672	0.881991378550672
Aphanothecaceae	0.602012559238694	0.602012559238694	-0.161732667359405	0.891455385874823	0.891455385874823
Unclassified Lactobacillales Order	0.602785705193255	0.602785705193255	0.0670877939817596	0.891455385874823	0.891455385874823
Erythrobacteraceae	0.617607489334652	0.617607489334652	0.0169541504390515	0.891455385874823	0.891455385874823
Cellvibrionaceae	0.620751418873366	0.620751418873366	0.0357201308252813	0.891455385874823	0.891455385874823
Pseudanabaenaceae	0.623160031515547	0.623160031515547	0.0190878245540182	0.891455385874823	0.891455385874823
Thermoanaerobacterales Family IV. Incertae Sedis	0.624404432383684	0.624404432383684	-0.0237829930113032	0.891455385874823	0.891455385874823
Rhodanobacteraceae	0.631161193700127	0.631161193700127	0.0217204514531689	0.891455385874823	0.891455385874823
Chrysiogenaceae	0.632328721666318	0.632328721666318	-0.0364699824370354	0.891455385874823	0.891455385874823
Bifidobacteriaceae	0.638512167484596	0.638512167484596	-0.0991973683826362	0.891455385874823	0.891455385874823
Bacteroidaceae	0.641577739834153	0.641577739834153	-0.063700905004443	0.891455385874823	0.891455385874823
Halobacteroidaceae	0.64871734107425	0.64871734107425	0.0759318939232187	0.891986343977094	0.891986343977094
Eggerthellaceae	0.664056439643623	0.664056439643623	-0.0429347947276818	0.895760031195233	0.895760031195233
Pectobacteriaceae	0.665033962554037	0.665033962554037	0.0603802841905859	0.895760031195233	0.895760031195233
Tannerellaceae	0.677247490323371	0.677247490323371	-0.0620108902920774	0.896327283302242	0.896327283302242
Rhizobiaceae	0.679035820683517	0.679035820683517	-0.019280055940767	0.896327283302242	0.896327283302242
Odoribacteraceae	0.689870547735059	0.689870547735059	-0.0562085984002645	0.901612993079483	0.901612993079483
Syntrophobacteraceae	0.698264974806997	0.698264974806997	-0.0365825864980174	0.90363702622082	0.90363702622082
Christensenellaceae	0.709080208437874	0.709080208437874	0.0336838000389533	0.908724150619411	0.908724150619411
Parachlamydiaceae	0.727051949060827	0.727051949060827	-0.0537428535781406	0.917760787539823	0.917760787539823
Unclassified Planctomycetes Phylum	0.740011922143703	0.740011922143703	0.0116975796212021	0.917760787539823	0.917760787539823
Peptococcaceae	0.745262813999113	0.745262813999113	-0.0468843524256332	0.917760787539823	0.917760787539823
Heliobacteriaceae	0.755469247624029	0.755469247624029	-0.0144139285158737	0.917760787539823	0.917760787539823
Microcoleaceae	0.755509634519776	0.755509634519776	-0.0197353917539667	0.917760787539823	0.917760787539823
Anaeromyxobacteraceae	0.757847923044248	0.757847923044248	-0.0134635213072935	0.917760787539823	0.917760787539823
Streptomycetaceae	0.784730117391297	0.784730117391297	-0.0168492091933816	0.928139932466929	0.928139932466929
Campylobacteraceae	0.792126045388778	0.792126045388778	0.0150201507530607	0.928139932466929	0.928139932466929
Unclassified Betaproteobacteria Class	0.798291166745993	0.798291166745993	-0.0473915215113086	0.928139932466929	0.928139932466929
Anaplasmataceae	0.805820226839671	0.805820226839671	0.0408541221729666	0.928139932466929	0.928139932466929
Flavobacteriaceae	0.823253723631783	0.823253723631783	-0.0280263195403932	0.928139932466929	0.928139932466929
Eubacteriaceae	0.825589321723775	0.825589321723775	0.0378430487359148	0.928139932466929	0.928139932466929
Unclassified Bradymonadales Order	0.825972842409544	0.825972842409544	-0.0123008646830395	0.928139932466929	0.928139932466929
Unclassified Proteobacteria Phylum	0.838943822720494	0.838943822720494	-0.0442370773779299	0.928139932466929	0.928139932466929
Burkholderiaceae	0.850408144546209	0.850408144546209	-0.0147519230633092	0.928139932466929	0.928139932466929
Halobacteriovoraceae	0.851010734418326	0.851010734418326	-0.0177162483068588	0.928139932466929	0.928139932466929
Chromobacteriaceae	0.857076483351418	0.857076483351418	0.00645663480953783	0.928139932466929	0.928139932466929
Staphylococcaceae	0.864654901274031	0.864654901274031	-0.0210655715029358	0.928139932466929	0.928139932466929
Pasteurellaceae	0.868054716573242	0.868054716573242	-0.0208189227666428	0.928139932466929	0.928139932466929
Limnochordaceae	0.874696272728312	0.874696272728312	0.0187469835899101	0.928139932466929	0.928139932466929
Microbacteriaceae	0.884052189698339	0.884052189698339	-0.0218714817742167	0.928139932466929	0.928139932466929
Clostridiaceae	0.885494490594268	0.885494490594268	-0.0238188404681872	0.928139932466929	0.928139932466929
Hungateiclostridiaceae	0.885951753718432	0.885951753718432	-0.0230116537843857	0.928139932466929	0.928139932466929
Acidaminococcaceae	0.906076282321881	0.906076282321881	0.0222249382936228	0.934695046554227	0.934695046554227
Methylobacteriaceae	0.909370878155673	0.909370878155673	-0.00651866656949035	0.934695046554227	0.934695046554227
Polyangiaceae	0.913451977314358	0.913451977314358	-0.00724509601673169	0.934695046554227	0.934695046554227
Pseudomonadaceae	0.936222319546646	0.936222319546646	-0.00401856407279522	0.950625739847364	0.950625739847364
Muribaculaceae	0.980145301870943	0.980145301870943	-0.00222801193091862	0.987627327076064	0.987627327076064
Propionibacteriaceae	0.999053161062567	0.999053161062567	0.000217884136957512	0.999053161062567	0.999053161062567
