bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Acholeplasmatales	0.556710646518615	0.556710646518615	-0.0619907296503328	0.851439812322588	0.851439812322588
Erysipelotrichales	0.56794899376369	0.56794899376369	-0.0981012100479177	0.851923490645535	0.851923490645535
Cellvibrionales	0.620751418873366	0.620751418873366	0.0357201308252813	0.887718466733185	0.887718466733185
Flavobacteriales	0.621383669114608	0.621383669114608	-0.0563818319879526	0.887718466733185	0.887718466733185
Chrysiogenales	0.632328721666318	0.632328721666318	-0.0364699824370354	0.887718466733185	0.887718466733185
Bifidobacteriales	0.638512167484596	0.638512167484596	-0.0991973683826362	0.887718466733185	0.887718466733185
Halanaerobiales	0.64871734107425	0.64871734107425	0.0759318939232187	0.887718466733185	0.887718466733185
Eggerthellales	0.664056439643623	0.664056439643623	-0.0429347947276818	0.893041418831079	0.893041418831079
Syntrophobacterales	0.698264974806997	0.698264974806997	-0.0365825864980174	0.923129966693996	0.923129966693996
Parachlamydiales	0.727051949060827	0.727051949060827	-0.0537428535781406	0.92790761461122	0.92790761461122
Unclassified Planctomycetes Phylum	0.740011922143703	0.740011922143703	0.0116975796212021	0.92790761461122	0.92790761461122
Bacteroidales	0.760867689223537	0.760867689223537	0.0407321137376448	0.92790761461122	0.92790761461122
Streptomycetales	0.784730117391297	0.784730117391297	-0.0168492091933816	0.92790761461122	0.92790761461122
Unclassified Betaproteobacteria Class	0.798291166745993	0.798291166745993	-0.0473915215113086	0.92790761461122	0.92790761461122
Bradymonadales	0.825972842409544	0.825972842409544	-0.0123008646830395	0.92790761461122	0.92790761461122
Unclassified Proteobacteria Phylum	0.838943822720494	0.838943822720494	-0.0442370773779299	0.92790761461122	0.92790761461122
Nitrosomonadales	0.841389472635126	0.841389472635126	0.0160963783274235	0.92790761461122	0.92790761461122
Bacteriovoracales	0.851010734418326	0.851010734418326	-0.0177162483068588	0.92790761461122	0.92790761461122
Pseudomonadales	0.853359909164393	0.853359909164393	0.00944783897054174	0.92790761461122	0.92790761461122
Neisseriales	0.858293498713258	0.858293498713258	0.00771666717373642	0.92790761461122	0.92790761461122
Pasteurellales	0.868054716573242	0.868054716573242	-0.0208189227666428	0.92790761461122	0.92790761461122
Limnochordales	0.874696272728312	0.874696272728312	0.0187469835899101	0.92790761461122	0.92790761461122
Xanthomonadales	0.876649281442383	0.876649281442383	0.00741318806553552	0.92790761461122	0.92790761461122
Oscillatoriales	0.880322608733722	0.880322608733722	-0.00953069091052646	0.92790761461122	0.92790761461122
Acidaminococcales	0.906076282321881	0.906076282321881	0.0222249382936228	0.942319333614756	0.942319333614756
Aeromonadales	0.925293019589453	0.925293019589453	0.0116836327832249	0.949642835894438	0.949642835894438
Rhizobiales	0.95851503803724	0.95851503803724	0.00390596503214665	0.970963285284477	0.970963285284477
Propionibacteriales	0.999162468646191	0.999162468646191	0.000192733236967018	0.999162468646191	0.999162468646191
