bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Gemmatimonadetes	0.00434538798632267	0.000592540896869335	0.72324169582142	0.447683323645273	-0.216621538516751	-0.0244198123791976	-0.0613822840274468	0.00622838944706249	0.000943676243162275	0.740461736198121	0.493599561967865
Planctomycetes	0.00710855038278124	0.000691198821644846	0.443878889661419	0.203014911653174	-0.164224491165144	-0.0405468973206571	-0.0791290037431703	0.00986024730514817	0.00106148390466887	0.537262851231804	0.272801287533953
Chrysiogenetes	0.014590633329883	0.00263637310749191	0.0536042447962638	0.0413303595072599	-0.179263770267484	-0.127796319736103	-0.158059487247659	0.0196061635370302	0.00390910495248801	0.104771933010879	0.0772698025570512
Kiritimatiellaeota	0.03726579934618	0.00383910107756984	0.219043067557208	0.304288705171656	-0.169377727052611	-0.0798160773969059	-0.0779362828802357	0.0485584658147194	0.00550271154451677	0.313961730165331	0.384835715364153
Candidatus Bipolaricaulota	0.0430827757577578	0.127429822766165	0.0238212564313467	0.0173921478168247	0.103865402795691	0.176246841025603	0.217489521749007	0.0544870399289289	0.136987059473627	0.0569063348082171	0.037393117806173
Candidatus Cloacimonetes	0.0470247503770125	0.00529485931518114	0.193640342957146	0.40579678314176	-0.176767629837574	-0.09167329182127	-0.0684076947422113	0.0577732647489011	0.00734448227589642	0.28712188783301	0.459191096713044
Balneolaeota	0.0633939937628113	0.0115185198679624	0.565819060978214	0.127439404301303	-0.159047576557415	-0.0401320865923852	-0.125365854934805	0.0746911744799152	0.0150089804340117	0.60825549055158	0.182663146165201
candidate division Zixibacteria	0.0642691501338806	0.00801047805965575	0.48358989673686	0.372057192500288	-0.221674586713246	-0.0647521597151769	-0.0964464790249812	0.0746911744799152	0.0107640798926624	0.555718718382029	0.432390791284118
Euryarchaeota	0.073880094907593	0.0570267269346664	0.384059549893003	0.835190216695394	-0.185888665761365	0.0955779885763908	0.026680764774002	0.0836011600270131	0.0681152571719626	0.500441231678761	0.855075698045284
Lentisphaerae	0.105570977611522	0.0951280592980553	0.610041890011195	0.351481675817989	-0.120504066566621	0.0412816167413783	0.0882934265974829	0.116398770187063	0.107644909205694	0.639800030987351	0.431820344576387
Synergistetes	0.122598818375968	0.502838499756775	0.0661379558974141	0.552772367351657	-0.0449286223576147	0.141099337179624	0.0528547279174479	0.131793729754165	0.514810844989079	0.113757284143552	0.594230294903031
Thermodesulfobacteria	0.136733182541665	0.031855637328372	0.344565706842477	0.104704105964891	-0.113874485877271	-0.0560386452076833	-0.113056245321188	0.143403093885161	0.040288011915294	0.463010168569579	0.155767478554042
Candidatus Micrarchaeota	0.612674134276358	0.246679101387242	0.449801456845231	0.931355516391384	0.0794405519241603	0.058005394939122	-0.00767501141389694	0.627261613663891	0.25871222828418	0.537262851231804	0.931355516391384
Candidatus Korarchaeota	0.966296245094664	0.803878602916549	0.832471645275187	0.771009196307565	0.0219812871886322	-0.02119409611341	0.034110661622774	0.966296245094664	0.803878602916549	0.832471645275187	0.808619401005496
