bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Gemmataceae	0.0171429870237723	0.0117425716027825	0.483808940896077	0.825905838028146	-0.142509663611884	0.0441001830184745	0.0161941344020255	0.0279483062598353	0.017235786367695	0.677849959972044	0.905452290539277
Bacteriovoracaceae	0.0171743408695935	0.00391434743406632	0.386656808591206	0.0309240049371658	-0.186766049994937	-0.0616889427365297	-0.181694429721413	0.0279483062598353	0.0067030001812116	0.608779621195172	0.0880661879732332
Streptosporangiaceae	0.0172721621589154	0.00246729954034601	0.690317885012514	0.601689917369697	-0.166333328231398	-0.0241409813055706	-0.0370377892722712	0.0280204735952683	0.00471420016698485	0.809632679552478	0.747122077492231
Hymenobacteraceae	0.0174529059505365	0.00554958224410248	0.827015775712497	0.973057046861605	-0.144500339806301	0.0125938309593498	-0.0022771099155571	0.0282263046854356	0.0090591311399056	0.913766825864675	0.983044359430434
Gomontiellaceae	0.0176369675605444	0.00399105721698608	0.810246617308215	0.093888361669988	-0.172279871353922	-0.0158619321681113	-0.130615017420834	0.028436218466847	0.00679953585723837	0.901420865115721	0.195228180615372
Leptolyngbyaceae	0.0178297332237036	0.00460264471866459	0.0741638536888989	0.0242196399842175	-0.149635232940725	-0.104453746361754	-0.154538116084018	0.0286588349976095	0.00773008279673155	0.202405517359287	0.0746534785395881
Acidilobaceae	0.0180049885475317	0.00354567282111351	0.0751969445907224	0.0377870499368368	-0.284750136681093	-0.191216046505349	-0.260049336098742	0.0288520305776961	0.00631099050859369	0.204161652671184	0.100002091752033
Crocinitomicaceae	0.0183655898991739	0.0048501303258996	0.938848816309068	0.166233772769508	-0.191360898130787	0.00572842525094357	-0.121337640149339	0.029340149716973	0.00806815330403616	0.960853085441311	0.310090250948089
Catenulisporaceae	0.0189704233694807	0.00412135386358019	0.957597119330125	0.191202580180482	-0.182886049012565	-0.00374577739309817	-0.108360668752423	0.0301396668871573	0.00698896253888679	0.971508116364621	0.346678726694023
Myxococcaceae	0.0190097939910313	0.00772897448758284	0.66148764776043	0.931130312898941	-0.153795237526862	0.0280790311947624	-0.00648498684538169	0.0301396668871573	0.0120177526157074	0.793179696628067	0.959129536021393
Cellulomonadaceae	0.0190386063733761	0.0201093607572495	0.4516464282691	0.496377175736507	-0.151570520116539	0.0548448364298284	0.058001934919272	0.0301396668871573	0.0280247474382946	0.657957114179659	0.656822323449317
Clostridiales Family XVII. Incertae Sedis	0.0196060590440055	0.00660558879994472	0.847926035556598	0.933714340438329	-0.177665137617371	0.0139093564012102	0.00706207443258488	0.0309445028284906	0.0104346960305485	0.919594156498995	0.959129536021393
Methanocellaceae	0.0198882675602938	0.00331645049245345	0.47276992602797	0.0676957578775651	-0.169735440775288	-0.0457819414755649	-0.137474167502547	0.0312956522570389	0.00601321819392944	0.673183264235478	0.159786383458757
