SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
SAMPLE-108	3.508152795873072	5.660540381224376	2.9615395473633996	2.4977432090596774	6.708954117393014	2.3262962742788145	2.2944507464571697	1.9243247338763219	2.2257497678114757	1.7232955058893589	1.9122379561018463	0.6492082150329442	3.237844450654069	2.8644746031799815	3.471871264793202	3.5603595265682624	2.3447927319826998	1.936084214928917	3.028809188310458	4.2591512080298175	3.109014799106133	3.76593072517908	2.069826719191258	2.5102928912932314	4.556598075417969	2.698146448802687	6.827895478777987	4.840628972371975	2.9220501464637003	2.7726426394153743	2.5501552642836525	3.19751796995018	3.1250751660638514	4.206330536434422	6.235054763062514	3.952037480781347	3.8900561500994457	3.663185230708843	2.8575794436635618	2.72536755945201	3.3060358920540516	3.8834274240395463	1.9749024726443118
SAMPLE-109	3.3723837459196795	6.546638918750869	2.7208272119315984	2.510489762778651	6.5289350358162865	2.0160283462553052	2.1803250036385435	1.8264619408828349	2.385997658296538	1.7191638927020925	1.3621037576581727	0.0	2.8033940245459203	2.5910852495984793	3.312287881773577	3.5043196823487506	2.1587527654045706	1.776118193835157	2.8662857087506635	4.079911867901035	3.0926453385070647	3.821447696993695	2.169672812549831	2.3375175347972545	4.4852193574794175	2.4582735292676836	6.728713553672236	4.361257668141138	2.7613171684706144	2.6110522015449567	2.4114497159134363	3.3954278611034723	3.001260330750462	4.091297337713621	6.252235547288023	3.7270114814541087	4.5568321919380885	3.5077989377616476	2.752952894412865	2.510489762778651	3.0122448890175377	4.460985163892898	1.949778594134174
SAMPLE-11	3.027758686642947	6.4862035610206945	2.490428200047811	2.253662496019202	6.816496997730992	1.5947621982182885	1.9216879410629302	1.6705565211925615	1.6857431913618004	1.4008271213127013	0.9700381010369917	0.0	2.493924015703422	2.5380303275562404	3.0801467562607603	3.582083793729792	2.0420516789813714	1.339121460676712	2.7161439987739193	3.7495574491447394	2.5252622991313114	3.327224146405837	1.8808150561070371	1.9302711156780405	3.6434706097299743	2.204573611367561	6.587512480984097	3.5845400033003143	2.35089528623599	2.352505575394534	2.2941001230377394	2.4011146914091066	2.4749458138399656	3.689473135074849	5.723065785662729	3.5862323549138586	3.0734754348610918	3.2917402287094815	2.206827350162445	2.2904071204322323	3.0398120361388323	5.223086644850413	1.7671573240698129
SAMPLE-110	3.4684532742039824	6.324357208619567	3.225110031268755	2.85390579565498	5.426866803084771	2.3722706928956274	2.23509010174584	1.4048984000201934	2.3170046037627734	2.4790773299390154	0.45897218031135933	0.0	3.2021823938112677	3.072532104857409	3.4262706638603877	3.7325340764425583	2.4424021113269494	2.076511149778063	3.3692174854137957	4.415168379314292	3.1407058437852777	3.9170190611556723	2.869596817512284	2.8673896544890405	5.148537620484761	2.8573162108534302	7.009455899017603	4.173746131908337	2.85390579565498	2.9815373760315915	2.5756990187235194	2.551197967428519	3.077334530278241	4.240524794879342	6.127481109565785	4.190889729734924	3.39590425554423	4.186189202860552	2.9054977797176584	2.9395941891479724	3.6315501128659147	3.885081284221355	2.4334799368305955
SAMPLE-111	2.72171332438822	6.1603661083342764	2.6307481087039273	1.7146252443763503	5.820382528445855	1.5735810920105675	1.3920756252946038	1.128589002402436	1.5241284154377284	2.1417813351734662	0.1835209369577702	0.1835209369577702	2.447263527021092	2.599927672945887	2.5673706782580354	3.0495875078476686	1.8487537144396915	0.27334160797421214	2.835021410664815	3.646401551858606	2.723875285265495	2.9967909283331196	2.300940245461744	1.887914698072311	3.651968038319629	1.8799586284354728	7.0784418591134015	3.5040699167406575	1.9963568023683647	2.4897001271762766	1.7849775776854597	2.4689999516429437	2.5346259354190392	3.3650216185608066	5.001511935831555	3.6851432569624074	2.7170648532232637	3.463736542301452	2.4502433449043832	2.10512498402966	3.0793754546313092	3.0385132390293417	1.9955884177575873
SAMPLE-112	2.722913876056543	5.486687337449925	2.2301101751153793	1.974610639852093	6.994705509974754	1.6048120239141777	1.3517722537420016	0.9950979466409373	1.2903945501259289	1.3372217474637809	0.3946781287226776	0.24071063703325046	2.046715033588966	2.3765896419921857	2.7851956863769467	3.1304811883458243	1.6914531550343699	1.4964662781655051	2.3544092742131117	3.5628410725616346	2.2698902918089123	3.0146054488064538	1.7350122389676537	1.769158975157916	3.445070320120299	2.09839674659674	6.552040895178978	3.304714593141698	2.1208846371137846	2.1714008243862857	1.9390948342871568	2.0932372675619675	2.257623754091419	3.4163203206334	5.648206087426436	3.3926223133697024	2.7466079975451376	3.2013116835572766	2.1863155047770406	2.035004341451564	2.738461284019747	3.498648456458678	1.4860884198866706
SAMPLE-113	2.4285691375256953	5.093415272232327	2.4070863965874203	1.5352044678901837	6.878525891111444	1.5352044678901837	1.3386173336047824	0.7843618004347811	1.0106405307991317	1.6248361999381404	0.16506667385364587	0.16506667385364587	1.6053496782423198	2.3174230007119867	2.604619816512605	2.7947616744583925	1.7447887884718016	1.1723708383673648	2.3869640017532188	3.46042403996449	2.2551505131373304	2.595031936095427	1.9855034696630016	1.4790179431174872	3.3722626705549414	1.8415812351745466	6.7079862298827795	3.630792998327516	1.563539562472533	2.1889772622736987	1.5524263687538369	1.8529984804489907	2.3288734920935723	3.2464185982136473	6.149379197619705	3.406813887503509	2.4931393857060207	3.1710049391019597	2.1979808358362782	1.8357580472629762	2.7813490131842813	3.0197351541468045	0.9905888662334996
SAMPLE-114	3.0257433083466605	5.44137853970933	2.5765178433540914	2.32713795751707	6.411874267656268	1.8960719087707913	1.6278714832156123	1.2698861830012689	1.3157281979424647	1.9128929993032513	0.0	0.0	2.4807890227641742	2.5569937852731233	2.8933850191864363	3.1553262640302693	2.2706463108594996	1.5832492715269952	2.675341150701787	3.7201203700926286	2.535240293602456	3.418744327335235	1.7710665297669892	2.12593015334866	3.6581170560483205	2.3827489211796427	6.982857357495139	3.4481012343746777	2.4435363073369074	2.391971326684427	2.2112610958876955	2.4594483478088267	2.5882891775361703	3.721916934644523	5.949820246244858	3.6929706960562854	2.905300333171074	3.4964655863177274	2.401001956339496	2.2559201442089845	3.0869591065749384	5.913916764057193	1.6778857513056034
SAMPLE-115	3.037875432447741	5.834183293465799	2.6724976128803717	2.4431749799257663	6.658037150959891	1.8092927448252991	1.4596674716957156	1.2434617308004376	1.4326422627676452	2.018904637307468	0.0	0.0	2.391196753237477	2.56464681708214	2.906798010571783	3.1062459251354944	2.199609638696677	1.4326422627676452	2.7372432781548826	3.6823091098014533	2.452597504545752	3.342497628357351	1.8844036043922407	1.8693659963545495	3.6323040394069674	2.2339771856906743	6.8130023265813575	3.476513907661753	2.3049489845651583	2.4404448496767133	2.162286913444721	2.434932555653791	2.6169237742973004	3.695979317869916	6.2156231452925	3.7054549630813853	2.8920449082759974	3.4066620499409654	2.325054543017475	2.1544214349829347	3.0548402254377307	5.906738967975622	1.446365048381067
SAMPLE-116	2.6191307804524886	4.994759023491985	2.008648082110464	1.9199655306251135	6.8760689157338275	1.5377682299312185	1.0788503949542525	0.8297615061802265	0.8923098471470731	1.3411371382075008	0.0	0.31106453085105357	2.6657118852182786	2.0784785015417673	2.5316661220588115	2.622396533426188	1.8488587749898688	0.8923098471470731	2.2786121964366237	3.3171553780861633	1.7940333055807376	2.9331026637196684	1.2491489251515067	1.417005920753058	3.1682770679776517	1.9665664968789465	6.57480276858084	3.424411972069236	1.9591386981923076	1.983419395402738	1.7791728373419937	2.102467488487799	2.1870278143758677	3.2698854086971805	6.379008608954041	3.159864805901106	2.5760910648222826	2.981953750804153	1.82231061443646	1.894645018409396	2.4355757096341755	5.642590410392483	0.8297615061802265
