SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Calditrichaeota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SAMPLE-34	0.0	3.7068967352248006	0.0	0.0	2.725842421789303	0.0	0.0	0.0	0.0	0.0	0.61911521978792	0.0	1.0203873490043613	0.0	0.0	0.0	2.2655068630968227	0.61911521978792	4.446036304402078	0.61911521978792	0.0	0.0	0.0	0.0	0.0	0.0	2.047692752284345	0.0	0.8645359604564825	2.415202450441455	0.0	0.0	1.9517544692791566
SAMPLE-35	0.0	3.7980384601593835	0.0	0.0	3.4508448494670874	0.0	0.0	0.0	0.6012386949703609	0.0	0.0	0.0	0.47639129024965243	0.0	0.9990142578273672	0.0	2.732905902812116	0.3004826373682072	4.362723377702434	1.2777159155836946	0.0	0.0	0.0	0.0	0.0	0.0	3.1665180110160507	0.0	0.0	1.254238026284243	0.0	0.6012386949703609	0.47639129024965243
SAMPLE-36	0.0	3.437939525166984	0.0	0.0	3.5769652352923456	0.0	0.0	0.3289458590547306	0.3289458590547306	0.0	0.9508248609985556	0.0	0.3289458590547306	0.0	0.891909380763627	0.0	2.4587784484425685	0.0	4.422838894771712	0.0	0.0	0.5139574058554378	0.0	0.0	0.0	0.0	2.5339835426960575	0.0	0.0	0.3289458590547306	0.3289458590547306	0.891909380763627	2.75647471603942
SAMPLE-37	0.0	2.3563157935846073	0.0	0.0	1.5087343302074878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6155839298917216	0.0	0.0	0.0	0.0	0.0	4.53050371933924	0.3100925844122839	0.0	0.0	0.0	0.0	0.0	0.4891631630544395	1.220960112895765	0.0	0.0	1.0577319868934594	0.0	0.0	0.6155839298917216
SAMPLE-38	0.0	3.6091341655419398	0.0	0.0	1.122427691739067	0.0	0.0	0.8176393936237026	0.0	0.0	0.0	0.0	0.3251509956284232	0.0	0.0	0.0	0.0	0.0	4.45265854064451	1.042497382589763	0.0	0.0	0.0	0.0	0.0	0.0	3.1733953408884426	0.0	0.0	2.4359568295511016	0.0	0.3251509956284232	0.6377570243581153
SAMPLE-39	0.0	3.7791001571430995	0.0	0.0	3.1645409155375557	0.0	0.0	1.3913814404354305	0.30689375585613254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.125758875262298	2.589110792497722	0.0	0.0	0.0	0.0	0.0	0.0	4.100351425831342	0.0	0.0	2.561845375421517	0.0	0.48492213900505154	1.0519958694951084
SAMPLE-4	0.5679877639015177	3.1294935206470766	0.0	0.0	3.180320212710617	0.0	0.0	0.0	0.3708994343744581	0.0	0.8059325730186079	0.0	0.3708994343744581	0.0	2.2906328291305296	0.0	2.549568784023977	0.0	4.277677950520237	0.3708994343744581	0.0	0.0	0.0	0.0	0.0	0.0	2.654749759006506	0.0	0.9587803938107471	3.387657020433872	0.0	0.9587803938107471	3.951209456689432
SAMPLE-40	0.0	4.079231416367149	0.0	0.0	2.4603735268361135	0.0	0.0	0.4956484468208738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.32515234637622	0.0	0.0	0.0	0.0	0.4956484468208738	0.0	0.0	2.876884303921434	0.0	0.0	1.3484509824508288	0.0	0.0	0.9787738600325387
SAMPLE-41	0.0	3.550100648408767	0.0	0.23071416462997524	3.3017169826603854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23071416462997524	0.0	0.23071416462997524	1.1341354780418202	1.1341354780418202	0.23071416462997524	4.455170119351859	0.0	0.0	0.23071416462997524	0.0	0.0	0.0	0.491797975833718	2.0400521246875125	0.0	0.0	0.491797975833718	0.0	0.23071416462997524	0.5802581280663591
SAMPLE-42	0.0	3.999900235832454	0.0	0.0	1.368992021112817	0.0	0.0	0.0	0.0	0.0	0.2952126618774808	0.0	1.3505300995581093	0.0	0.0	0.0	2.0137042113425636	0.0	4.371832933287098	0.2952126618774808	0.0	0.0	0.0	0.0	0.0	0.2952126618774808	1.9970029092293358	0.0	0.0	1.7045179621097568	0.0	0.5933045062901007	2.579381400308069
