SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Halobacteria	Ignavibacteria	Lentisphaeria	Methanobacteria	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Saprospiria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermoleophilia	Thermotogae	Tissierellia	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Verrucomicrobia Phylum	Verrucomicrobiae	Vicinamibacteria
SAMPLE-26	0.0	0.0	0.0	2.8725113782346035	0.9483867809674232	0.0	0.0	0.0	3.573763129744132	3.516895045254167	2.654286706022336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.913843927109744	0.0	3.425415866835803	0.0	0.0	0.0	0.0	2.1921058555203974	0.0	0.597124441055991	1.5121219364583254	0.0	0.0	0.2977458689055982	3.649410510206168	0.0	0.0	0.0	0.0	0.2977458689055982	1.6370103633228774	3.1887570179326263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2977458689055982	0.9483867809674232	0.2977458689055982	0.0	0.4727368769810909	0.0	0.597124441055991	0.0	0.7726638271842933	2.29229318257767	0.0	0.0	0.9483867809674232	0.0	0.0	3.937495157681934	0.0
SAMPLE-27	0.0	0.0	0.0	3.256080155164791	0.0	0.0	0.0	0.0	3.4916163314868958	3.2607224982196508	2.6208358168799193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.223644606198368	0.0	3.9208768804486094	0.0	0.0	0.0	0.0	1.3092065956709678	0.0	0.0	2.0317744245645764	0.0	1.0289800082068052	0.0	2.6593767168706473	0.0	0.0	0.0	0.0	0.0	1.945520333940292	2.7863776910071314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0289800082068052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.850262697289148	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAMPLE-28	0.0	0.0	0.0	3.3213045526576663	0.5385167886825789	0.3478710214536873	0.0	0.0	3.505228358529262	3.0868603325225683	0.6705538621496218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.279416713303113	0.0	3.7853710154860636	0.5385167886825789	0.0	0.0	1.7594984605130126	2.07952139507083	0.0	0.0	2.8700217588005223	0.0	0.0	0.3478710214536873	1.3636105111839973	0.0	0.0	0.3478710214536873	0.0	0.0	0.6705538621496218	2.3266983686290192	0.0	0.0	0.0	0.0	0.0	0.3478710214536873	0.0	0.0	0.0	0.3478710214536873	0.0	0.0	0.0	0.8536293024413462	0.8536293024413462	1.533389217805588	0.0	0.3478710214536873	0.0	0.0	0.0	0.6705538621496218	2.8516576224812695	0.0	0.3478710214536873	1.0343150541269601	2.1748171580294855	0.0	2.6877057476101744	0.0
SAMPLE-29	0.0	0.0	0.7132989560770167	2.5367380089213336	0.0	0.37825976371924075	0.0	0.0	3.786596936201291	3.0791501411487174	0.37825976371924075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.154758534320795	0.0	3.6749861730769418	0.37825976371924075	0.0	0.0	0.0	0.5773171110172949	0.0	0.37825976371924075	3.208625686929035	0.0	0.0	0.5773171110172949	2.529668101801409	0.0	0.0	0.0	0.0	0.37825976371924075	2.1282927274769614	1.7631196624242018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37825976371924075	0.37825976371924075	0.0	1.0832846803523979	0.0	0.7132989560770167	0.0	0.37825976371924075	1.8564342450565368	0.0	0.0	1.1304353925689865	0.0	0.0	3.722985775861357	0.0
SAMPLE-3	0.0	0.0	0.0	2.3653245266064262	1.071989949033772	0.0	0.0	0.0	3.5001758962699814	3.8603241193656044	1.6586037274956729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.215304574265934	0.0	2.971648777264875	0.0	0.0	0.0	0.0	2.25994998577555	0.0	0.0	2.8610244821228994	0.0	0.37113561606544876	1.161477804791645	2.5998915777681555	0.0	0.0	0.0	0.37113561606544876	0.0	0.5682877878825315	3.5181512172150886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37113561606544876	0.0	0.0	0.0	0.0	0.0	0.0	0.7033859621762139	1.2684554920622264	0.0	0.5682877878825315	0.37113561606544876	0.0	0.0	1.298965085768351	2.3144060240553106	0.0	0.37113561606544876	1.573566608295234	0.0	0.0	3.1002125563441747	0.0
SAMPLE-30	0.0	0.0	0.0	3.4569806724115013	0.722075043273555	0.0	0.0	0.0	2.9042971777367206	2.0412617756107876	0.9798405112707305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.346610033615294	0.0	3.1800444697471977	0.0	0.0	0.0	0.0	0.4964598104831642	0.0	0.0	3.6373203674441754	0.0	0.0	0.0	3.184921028698265	0.0	0.0	0.0	0.0	0.0	0.722075043273555	2.125382037015503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9798405112707305	1.0675552792572578	0.0	0.722075043273555	0.0	0.0	0.0	0.0	2.7302069945535665	0.0	0.0	0.0	0.8698073398138682	0.0	2.125382037015503	0.0
SAMPLE-31	0.2161512224275035	0.0	0.0	3.793218481348266	0.2161512224275035	0.0	0.0	0.0	3.0116154928878416	2.201428199385208	1.7987518687126651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2643145666056546	0.0	2.828451724456902	0.2161512224275035	0.0	0.0	0.0	1.4774468227880215	0.0	0.2161512224275035	3.0253053327687276	0.0	0.0	0.0	3.5259889401031015	0.0	0.0	0.2161512224275035	0.0	0.0	0.7895493500462265	3.278246202396798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2161512224275035	0.2161512224275035	2.1390229101695732	0.0	0.0	0.2161512224275035	0.0	1.0012672256877153	0.0	0.0	2.976115335336572	0.0	0.0	1.0283339508130065	0.46758342213014115	0.0	2.4067242354926983	0.0
SAMPLE-32	0.0	0.0	0.0	2.6080027202491047	0.7135087941823286	0.0	0.0	0.0	3.5677099303750563	3.2339897217521383	2.5707172498759654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.324329780469471	0.0	3.0052996647193724	0.0	0.0	0.0	0.0	1.7659700537610077	0.0	0.31017361463590837	2.681761162235269	0.0	0.0	1.7253211448696084	3.2894660734725485	0.0	0.0	0.0	0.0	0.0	1.8102043713099154	2.2248144493809177	0.0	0.0	0.0	0.0	0.31017361463590837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7135087941823286	0.489270461472712	0.489270461472712	0.0	0.31017361463590837	0.0	0.0	0.489270461472712	0.0	2.097132189335669	0.0	0.0	1.522694354988778	0.0	0.0	3.4743066463594827	0.0
SAMPLE-33	0.0	0.0	0.0	1.8452313836345204	0.5710717947243605	0.0	0.0	0.0	2.6898409973013866	2.1914235917493774	0.7435793621660634	0.0	0.0	0.2806187878479579	0.0	0.0	0.0	0.0	4.41976084901953	0.0	3.389550801066598	0.2806187878479579	0.2806187878479579	0.0	0.0	0.7435793621660634	0.0	0.0	3.447440175777874	0.0	0.2806187878479579	0.0	1.1911949794493766	0.2806187878479579	0.0	0.2806187878479579	0.2806187878479579	0.6658351433166831	0.4496874198432188	2.3385649353274642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2806187878479579	0.0	0.0	0.0	0.0	0.5710717947243605	0.4496874198432188	0.4496874198432188	0.0	0.6658351433166831	0.4496874198432188	0.2806187878479579	0.2806187878479579	1.8508279596753656	3.2017299381202378	0.0	0.0	0.2806187878479579	0.2806187878479579	0.2806187878479579	1.5156912844709074	0.0
SAMPLE-34	0.0	0.0	0.0	2.6278450538542093	1.0203873490043613	0.0	0.0	0.0	2.6529709538000685	2.701976477384475	1.4689656427776363	0.0	0.0	0.61911521978792	0.0	0.0	0.0	0.0	4.381517895708962	0.0	3.6683066052891538	0.0	0.0	0.0	0.0	1.513245532054746	0.0	0.61911521978792	3.0635723021198276	0.61911521978792	0.0	0.61911521978792	1.513245532054746	0.0	0.0	0.0	0.0	2.2655068630968227	0.61911521978792	3.333064763607013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8645359604564825	0.61911521978792	0.0	0.0	0.0	1.419653080309136	1.0203873490043613	0.0	1.419653080309136	0.0	0.0	0.0	1.0203873490043613	1.8673780419876866	0.0	0.0	0.8645359604564825	2.409894227341904	0.0	1.9517544692791566	0.0
