SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
SRR11292154	1.586416083495516	3.7172473910051598	1.712187012022422	0.0	4.335376611212552	3.1792275380395525	1.1448938382471916	0.0	0.689138411400136	0.0	1.2515981187622267	0.0	2.0089836764622295	0.0	2.4814057997021464	0.791277083934385	2.2549146318214164	0.0	1.003123886269123	2.568633120578351	0.0	4.411527630094276	1.7732100591059696	1.1448938382471916	1.6007639918601657	0.0	0.689138411400136	1.2515981187622267	1.9624730168164517	3.8957864196517784	2.0459575261568457	1.7732100591059696	1.6781264664194866	1.4505041948680923	0.5553428726999472	1.8963146619533802	2.4757964112913626	0.5553428726999472
SRR11292155	0.0	2.7542057583765174	0.0	0.0	4.239229287853146	0.0	0.0	0.0	0.0	0.0	0.4059535958831778	0.24877708809577662	0.9008864215874031	0.0	1.8293166406895451	0.0	1.7227136813056632	0.4059535958831778	0.0	0.0	0.0	4.637804285747599	0.8565012676261438	0.24877708809577662	0.4059535958831778	0.0	0.0	0.24877708809577662	0.6872073884207246	3.123938726607566	1.3243906206094247	0.0	2.8517903003296294	0.0	0.4059535958831778	0.9411530514297392	2.6095640093499295	0.0
SRR11292156	1.390632031514151	2.5246983990011307	0.0	1.2589042753914086	4.138183347238755	0.0	0.0	0.0	0.0	0.0	0.23417079186284287	0.3854745268133285	1.0689080507817297	0.0	1.0689080507817297	0.0	0.9109611863319702	0.0	0.23417079186284287	0.0	0.0	4.599800081150663	0.827178697833647	0.49746795387892917	0.3854745268133285	0.0	0.0	0.0	1.1636978874557602	3.0134686377992113	0.5864214200761281	0.3854745268133285	2.488961599501658	0.0	0.49746795387892917	1.3073901222704378	3.9361274791228658	0.0
SRR11292157	0.0	3.584676480717036	0.0	0.0	4.218130208280597	0.0	0.0	0.0	0.2888503653294156	0.0	0.0	0.0	0.46080464126077214	0.0	0.5836600138816106	0.0	0.0	0.0	0.0	0.46080464126077214	0.0	4.633577956003626	0.6793151943653121	0.0	0.0	0.0	0.0	0.0	0.881546103818667	2.710135940355879	0.6793151943653121	0.46080464126077214	1.0911841885294546	0.0	0.46080464126077214	1.0911841885294546	1.407593780175357	0.0
SRR11292158	0.0	2.2292674653572266	0.0	0.0	4.324710066137786	0.0	0.0	0.0	0.0	0.0	1.1209984814782055	0.0	0.5368842972516874	0.0	0.5368842972516874	0.0	0.9205274749864096	0.0	0.0	0.0	0.0	4.612004201299647	0.5368842972516874	0.0	0.6687467197992418	0.0	0.0	0.0	0.0	3.006325480025296	0.769758573901243	0.0	2.4774342660309445	0.0	0.0	1.1593927533838515	2.586257148581358	0.0
SRR11292159	0.6390171622323454	2.805164479529057	0.0	0.0	4.468323409976629	0.0	0.0	0.0	0.427753066500663	0.0	0.427753066500663	0.0	1.2067937423514732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.522254891608895	0.9725835870045672	0.0	0.0	0.0	0.0	0.0	0.6390171622323454	2.6489218263044467	1.2498451386932445	0.0	0.780528737268906	0.0	0.0	1.5168692360352074	2.0415780199386715	0.0
SRR11292160	0.9525886055577331	3.3831118433397864	0.0	0.0	4.596689729701896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9863217018540684	0.0	1.2972840139037878	0.0	0.5014000461611762	0.0	0.0	0.0	0.0	3.941089197334216	3.9990659219544917	0.0	0.5014000461611762	0.0	0.0	0.0	0.23657827271716964	3.495257720429805	0.7831271311788017	0.23657827271716964	1.2811259054199826	0.5014000461611762	0.0	0.8320809515794364	2.1184277807390157	0.0
SRR11292161	0.0	2.9144831761882246	0.0	0.0	4.1260530111994465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9946393000268546	0.0	0.8011562633175257	0.0	0.8011562633175257	0.0	0.0	0.2759404299401092	0.0	4.626683224432922	2.3064577428737034	0.0	0.4433357238224462	0.0	0.0	0.0	0.2759404299401092	3.5897687208506555	0.0	0.5638602986599379	1.6027133908334588	0.0	0.0	1.2520495860110559	3.5147344674600136	0.0
SRR11292162	1.7396434784596626	3.794766445461903	0.0	0.0	4.655637996951187	0.6737451948103859	0.28543699394878375	0.5784553906746698	0.28543699394878375	0.0	0.8180141314458738	0.28543699394878375	1.3121513932309679	0.0	1.487744728540265	0.0	0.6737451948103859	0.0	0.28543699394878375	0.9261223189029066	0.0	4.011519873936735	2.2188383422098643	0.6737451948103859	0.0	0.0	0.0	0.8754234741048293	0.28543699394878375	3.2649150603723767	0.4562036420016973	0.4562036420016973	0.8180141314458738	1.17440817775121	0.0	0.28543699394878375	1.602467457146815	0.0
SRR11292163	1.9665603390416133	3.4121728857650844	0.0	0.2198241652898502	4.360801870360595	1.8998801136596821	0.0	0.0	0.6329202518961301	0.0	0.7491490674384552	0.5605833190199986	2.374549684482385	0.0	0.9163521438559363	1.3441029846891843	0.9497305468938634	0.0	0.5605833190199986	3.0416805403951543	0.0	4.322150450681006	1.7353763039160757	0.0	0.9163521438559363	0.2198241652898502	1.4956843920535785	0.8407480287584548	0.5605833190199986	4.1635069439541565	0.7491490674384552	2.016158686184873	1.242364444083164	0.47374168500061503	0.36508162437527614	0.8407480287584548	3.03088854065062	0.0
SRR11292164	1.3862640285264358	3.099741975442388	0.0	0.0	4.59308697556754	0.0	0.0	0.0	1.0014573049440576	0.0	1.482290883376238	0.39891208844163345	0.7972403206138392	0.0	1.3132939551687248	0.0	1.4369261292906417	0.39891208844163345	0.0	1.0014573049440576	0.0	4.293575680657835	2.6629547419164816	0.24373261332852664	0.24373261332852664	0.0	0.0	0.39891208844163345	0.8464860602589682	3.3326403432694947	0.39891208844163345	0.24373261332852664	2.9577855692283648	1.0621762297515478	0.0	0.9675859306147361	2.287167862593669	0.0
SRR11292165	0.0	3.1026929620845025	0.0	0.0	4.545095203860544	0.7975433540068243	0.0	0.0	0.0	0.0	1.7249356961988371	0.0	0.8409356790510877	0.0	1.4046998592809208	0.0	0.21991127786888487	0.0	0.0	1.0369767731483786	0.0	4.403238778518542	1.858529821118485	0.0	0.3652063152346798	0.0	0.0	0.0	0.5607423002208767	3.2504956543561687	0.21991127786888487	1.2891192086359289	1.0866165715641798	0.7493292892921595	0.0	1.0866165715641798	2.489774000671156	0.0
SRR11292166	0.0	2.2597134940634027	0.0	0.0	4.613813527402733	0.0	0.3499957384895931	0.0	0.0	0.0	0.3499957384895931	0.3499957384895931	0.3499957384895931	0.0	0.5412544427792284	0.0	0.3499957384895931	0.0	0.0	1.1651163903027337	0.0	4.335005293176804	0.0	0.0	0.0	0.0	0.0	0.3499957384895931	0.0	3.0056168291218985	0.9854666320579882	0.3499957384895931	0.7748669379269563	0.0	0.0	0.0	0.8569399977682556	0.0
SRR11292167	1.438259424237353	3.6263547131172884	0.19051917079771835	1.0991297924587289	4.2871596868731325	2.290893975758866	0.0	0.7328241321388678	1.9222082791899084	0.6338738179228365	1.200524090110092	0.574418621998808	2.193927646614737	0.19051917079771835	1.2700126914995027	1.4553544649386074	1.0796653849281221	0.0	0.0	1.5249084676857019	1.1851850572244393	4.5126606162425995	1.2296666873126778	1.169284360288919	1.200524090110092	0.19051917079771835	1.5910220357498617	1.6031174663548402	2.096564448138423	3.831177653571157	1.2296666873126778	1.48764930758717	1.5103860940358182	1.0592875125856362	0.3224960116054637	1.135622107467895	1.8474759418332223	0.9917003395805454
SRR11292168	1.974699138095268	4.441128726531782	0.0	0.4750858098700754	3.94755181261313	2.6334382248074695	0.6965263232445245	0.0	2.235007078330793	0.0	1.4284206059671452	0.4750858098700754	2.5447266393390358	0.0	2.057667757910005	1.3193085875654962	0.9515264575075009	0.0	0.0	2.079753965262066	1.823063828572411	4.0389280241013195	1.3588044309113863	1.4284206059671452	0.0	0.0	2.079753965262066	1.2758582644755334	2.1208179486815513	4.15750201818379	1.0386147069325056	1.7823233637440599	1.7045735638752195	2.1007711182584177	0.0	0.0	2.235007078330793	1.6691063639369443
SRR11292169	0.0	3.515796647723343	0.0	0.0	4.4055252926812365	0.0	0.0	0.0	0.36093726896118006	0.0	0.0	0.0	0.6890824185136315	0.0	1.2187928573544884	0.0	0.0	0.5552920761123809	0.6890824185136315	0.0	0.0	4.362909307879922	2.7597032927216762	0.0	0.36093726896118006	0.0	0.0	0.6890824185136315	0.36093726896118006	3.8052823793479003	1.1833833744967377	0.5552920761123809	1.1833833744967377	1.0030604806316548	0.36093726896118006	0.8738484713980967	3.7109808836831983	0.0
