SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Methanobacteria	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Firmicutes Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR11292134	0.0	0.0	0.0	2.018978858259884	1.5602674702742043	0.0	0.0	0.0	1.4188949425094564	4.603603181621839	2.9275759507114443	0.0	1.6667473155587864	0.0	0.0	0.0	0.0	0.0	0.0	4.264142923509822	0.0	1.091882368826014	1.1725944951999334	0.0	0.0	0.0	1.9690001006548519	0.0	0.0	0.0	2.484430605389073	0.0	0.0	0.8638555571389375	0.0	2.443000652877233	0.0	0.0	0.0	0.0	0.6799160415166849	0.0	0.0	0.0	0.0	0.0	0.0	0.5469846060510178	3.142298500223217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351225290347339	0.35445264554955574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5469846060510178	0.9926658694149428	0.0	0.0	3.123742850241849	0.0	0.0	0.0	0.0	0.5469846060510178	0.8638555571389375	0.0	2.860498847819251	0.35445264554955574	1.7893410189792014	0.0	0.0	0.0	0.0	2.145498192303354	0.0	0.0
SRR11292135	0.0	0.0	0.2577382733805398	3.030255121280702	1.9548566998078398	0.5353886243945998	0.0	0.0	2.5362240730568306	3.813779062868617	1.681190853012376	0.0	0.0	0.2577382733805398	0.5353886243945998	0.0	0.0	0.0	0.0	4.457538657667157	0.0	2.0676866241906366	1.1190489996699031	0.0	0.0	0.0	0.9591601252458686	0.0	0.0	0.5353886243945998	3.724344494207297	0.0	0.0	0.5353886243945998	0.2577382733805398	2.6043050902539933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8242392272269743	2.2515031469321225	0.0	0.0	0.0	0.7033983567560647	0.0	0.7033983567560647	0.0	0.0	0.4183837733588247	0.0	0.7033983567560647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7033983567560647	0.9961935853568935	0.0	0.0	1.9813614838850173	0.0	0.0	0.9186718314256922	0.0	1.0303157331396078	0.9591601252458686	0.0	2.5216502594301184	0.7033983567560647	1.4910702880154842	0.2577382733805398	0.0	0.5353886243945998	0.0	4.315452007389944	0.0	0.0
SRR11292136	0.0	0.7472717124553733	0.4030173459223241	2.3537655876826014	1.4552893249961962	0.4030173459223241	0.0	0.8029717846983583	2.310502286170047	4.514511320129426	2.2696466709060616	0.0	0.0	0.2466707650758995	0.0	0.6833620622228138	0.2466707650758995	0.0	0.0	4.399421688755457	0.5177365851984848	1.2509902910929267	1.0684008451177336	0.0	0.0	0.4030173459223241	3.3712381451189035	0.0	0.0	1.1461246751023986	2.871740972441176	0.0	0.0	1.0075939183015163	0.7472717124553733	2.024337181154573	0.0	0.0	0.0	0.0	0.2466707650758995	0.0	0.0	0.0	0.0	0.0	0.0	2.226520494656868	3.1127393472320097	2.066212680873568	0.0	0.0	0.2466707650758995	0.0	0.0	0.0	0.0	0.5177365851984848	0.0	0.8966527170428175	0.5177365851984848	0.0	0.0	0.0	0.2466707650758995	0.0	0.0	0.0	0.9368652128220734	0.0	0.0	0.0	2.7269152747575593	0.0	0.0	0.0	0.0	0.0	0.2466707650758995	0.0	1.3791420199304179	0.5177365851984848	2.018011211810471	0.2466707650758995	0.0	0.2466707650758995	0.0	0.2466707650758995	0.2466707650758995	0.0
SRR11292137	0.0	0.0	0.0	1.838213776060322	1.0337313916905944	0.2441372442703422	0.0	0.931678951056066	3.531251505134613	4.393645513941047	2.2948035213430784	0.0	0.0	0.0	0.0	1.9319493654581685	0.0	0.0	0.0	4.328568322644556	0.2441372442703422	2.385916397766685	2.7006559048741554	0.0	0.0	0.0	2.7315178899108425	0.0	0.0	0.7424587453367886	3.1032735374281857	0.0	0.0	1.4832014513984502	0.6039817617188712	2.620602420398067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7715248898304405	0.0	0.0	0.8472936561499249	2.9767239121001494	1.9507000706251743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2441372442703422	0.0	1.185662880755316	0.39947810469557293	1.297998293218497	0.0	0.0	0.0	0.0	0.0	0.0	0.7980318297626358	0.513657604415627	0.0	0.0	2.799997075309829	0.6039817617188712	0.0	0.2441372442703422	0.2441372442703422	0.0	0.0	0.0	1.6792003355430392	0.513657604415627	1.7308665362496127	0.2441372442703422	0.0	0.513657604415627	0.0	3.966229994331648	0.0	0.0
SRR11292138	0.0	0.0	0.0	1.488044316094388	1.038277083569945	0.0	0.0	0.0	2.16727555523383	3.913529535424895	0.9779078273063108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.713262898406432	0.0	2.391287254506257	0.9077709126328669	0.0	0.0	0.0	2.09942434754826	0.0	0.0	0.0	2.277622993023877	0.0	0.0	0.383337457862068	0.5837287746525708	2.7532137415635103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.383337457862068	3.316036244117552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5837287746525708	0.720325983835763	0.0	0.0	0.0	0.383337457862068	0.0	0.0	0.0	0.8240837537166057	0.5837287746525708	0.0	0.0	2.179660565049461	0.0	0.0	0.0	0.0	0.383337457862068	1.038277083569945	0.0	2.6669573590864264	0.5837287746525708	1.5442680531908661	1.0912696692538537	0.0	0.383337457862068	0.0	0.5837287746525708	0.0	0.0
SRR11292139	0.0	0.0	0.0	2.6404303725050986	1.1120617207215564	0.34131179323179633	0.0	0.7617413920079451	3.5754305585193302	4.124839218594037	2.7349984727108514	0.0	0.0	0.0	0.0	0.7617413920079451	0.5300407562941385	0.0	0.0	4.555634442330498	0.34131179323179633	2.1295949542862913	2.1447237868484232	0.0	0.0	0.5300407562941385	2.80292119914222	0.0	0.0	1.070016356051181	1.957025046010474	0.0	0.0	1.0234598117254088	2.540792479667344	3.4942548029590483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2484959930679596	0.0	0.0	0.0	1.643429699261958	2.9657920772244024	2.097658082778026	0.0	0.0	0.5300407562941385	0.0	0.34131179323179633	0.34131179323179633	0.0	0.34131179323179633	0.0	1.374624011116146	0.0	0.34131179323179633	0.0	0.0	0.0	0.0	0.0	0.0	1.489388808452579	0.9713064001961811	0.0	0.0	3.0450820693674454	0.0	0.0	0.6611630617644889	0.34131179323179633	0.7617413920079451	1.0234598117254088	0.0	2.634453813120718	0.6611630617644889	1.8393501132556684	0.5300407562941385	0.0	0.7617413920079451	0.0	3.419335529773328	0.0	0.0
SRR11292140	0.0	0.0	0.7300855909642443	2.2960328983653864	1.4208462684812238	0.43910373362681776	0.0	0.0	3.41719501318242	4.39710436125365	2.58127791181352	0.0	0.0	0.0	0.2728333797180628	0.0	0.0	0.0	0.652932657130096	4.470656685160657	0.0	2.495705646920388	1.17575540943433	0.0	0.0	0.43910373362681776	1.8868399959155147	0.0	0.0	0.2728333797180628	2.7285016625537213	0.0	0.0	0.9027751355826281	0.7955777643746702	3.4272480970168124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43910373362681776	3.101859685534284	2.502921129503035	0.0	0.2728333797180628	0.0	0.0	0.0	0.2728333797180628	0.0	0.2728333797180628	0.0	1.17575540943433	0.7955777643746702	0.652932657130096	0.2728333797180628	0.0	0.2728333797180628	0.0	0.0	0.0	0.7955777643746702	0.652932657130096	0.0	0.0	2.924888191860122	0.0	0.0	0.2728333797180628	0.0	0.2728333797180628	0.43910373362681776	0.0	1.6831449298918064	0.652932657130096	1.641865485656518	0.2728333797180628	0.0	0.0	0.0	1.6831449298918064	0.0	0.0
SRR11292141	0.0	0.0	0.0	1.5329580352621552	1.1537050664748218	0.0	0.0	0.0	2.9946939211692047	4.5728202844711054	1.7047851159171423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.236316831828639	0.0	1.383477779464416	0.0	0.0	0.0	0.0	2.1664608290723364	0.0	0.0	0.6346384074874502	1.6754336302524382	0.0	0.0	1.610012425639086	3.2445610408722945	3.3005725439637157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.439218902787639	2.8173648275374603	0.0	0.0	0.0	0.8821372508599371	0.0	0.0	0.0	0.0	0.0	0.0	0.6346384074874502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8821372508599371	0.0	0.0	0.0	2.0156094567545164	0.0	0.0	0.6346384074874502	0.0	0.0	0.0	0.0	1.244474976220046	0.0	1.7825356140468969	0.0	0.0	0.0	0.0	3.526633029691488	0.0	0.0
SRR11292142	0.0	0.0	0.4120482846035824	2.1420188910566287	1.1354627299003557	0.0	0.0	0.0	4.4006071739545005	2.7503574005681015	0.9500110672270266	0.0	0.0	0.0	0.0	0.4120482846035824	0.0	0.0	0.0	4.548860193542292	0.0	2.8493064310211715	1.1354627299003557	0.0	0.0	0.4120482846035824	1.5138957688633567	0.0	0.0	0.0	2.66269996962364	0.0	0.0	0.4120482846035824	0.0	2.655163397105585	0.0	0.0	0.0	0.0	0.4120482846035824	0.0	0.0	0.0	0.0	0.0	0.0	1.0819889522009802	2.161403356466213	0.8651151845684407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4120482846035824	0.0	0.0	0.0	0.0	0.0	0.0	1.0819889522009802	0.7594897022745045	0.0	0.0	1.7129989630480549	0.0	0.0	0.4120482846035824	0.0	0.0	1.2259672822084453	0.0	2.2190207806834166	0.0	1.0819889522009802	2.6536402601354254	0.0	0.0	0.0	2.2063867128362866	0.0	0.0
SRR11292143	0.0	0.0	0.0	2.4375226844215176	1.1280585888589714	0.0	0.0	0.9392410334993204	2.6353711256162593	4.673945671868381	2.8274926319375178	0.0	0.4433627173371815	0.20191008218899378	0.20191008218899378	0.0	0.0	0.0	0.0	4.032440140648296	0.5273097219409799	1.066468450740735	1.108483233949285	0.0	0.0	0.4433627173371815	0.7585359090142623	0.0	0.4433627173371815	0.33920455069619393	2.066014260186034	0.0	0.0	0.8011917901006496	1.3709090105169166	3.150574489874233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5273097219409799	3.1894870071718633	0.0	0.0	0.0	0.0	0.33920455069619393	0.0	0.4433627173371815	0.0	0.0	0.0	1.5101372328793303	0.20191008218899378	0.33920455069619393	0.0	0.0	0.0	0.0	0.0	0.0	0.9086216799381451	0.0	0.0	0.0	3.130489558671601	0.0	0.0	0.0	0.0	0.33920455069619393	0.20191008218899378	0.0	1.2299565057187436	0.0	1.5694280513579486	0.0	0.0	0.33920455069619393	0.0	0.33920455069619393	0.0	0.0
SRR11292144	0.0	0.0	0.0	2.3907257358858987	1.3136672018644837	0.0	0.0	0.7158335536150714	2.7647131199494908	4.456243879255922	2.761567675434054	0.0	0.0	0.0	0.3800886222451626	0.5796287031147815	0.3800886222451626	0.0	0.0	4.4082434492499685	0.0	1.7107569839653451	1.2146464436192894	0.0	0.0	0.0	0.5796287031147815	0.0	0.3800886222451626	0.5796287031147815	3.7245243181664214	0.0	0.0	0.3800886222451626	1.4180990910803486	2.0635001492494855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7158335536150714	2.9498626396444454	0.0	0.0	0.0	0.0	0.3800886222451626	0.0	0.3800886222451626	1.033232999132215	0.0	0.0	1.0861668401426734	0.3800886222451626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7158335536150714	0.0	0.0	0.0	3.118913798643294	0.0	0.0	0.0	0.0	0.5796287031147815	0.7158335536150714	0.0	2.7410993643879342	0.3800886222451626	1.3942499336495695	0.5796287031147815	0.0	0.0	0.0	0.0	0.0	0.0
SRR11292145	0.0	0.0	0.0	2.240550314151483	1.1389920822152293	0.33467017925029696	0.0	0.0	3.379751785066893	4.598796350964654	1.7167324664724959	0.0	0.0	0.0	0.0	0.0	0.0	0.33467017925029696	0.0	4.207621344344498	0.0	1.5681239835382583	0.751610609484211	0.0	0.0	0.0	2.625796737227587	0.0	0.33467017925029696	0.33467017925029696	3.4851238997975673	0.0	0.0	0.8328526010880904	0.6515910269730116	1.779704050725205	0.33467017925029696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.751610609484211	3.2246870564264807	0.0	0.0	0.0	1.1007414987090207	0.5214196798596917	0.0	0.0	0.33467017925029696	0.33467017925029696	0.0	0.8328526010880904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1389920822152293	0.0	0.0	0.0	1.819677458768816	0.0	0.0	0.0	0.0	0.0	0.5214196798596917	0.0	1.291751177980332	0.33467017925029696	2.013573420408865	0.0	0.0	0.33467017925029696	0.0	0.33467017925029696	0.0	0.0
